Psalm 47:3	He shall subdue the people under us, and the nations under our feet.
Psalm 83:8	Assur also is joined with them: they have holpen the children of Lot. Selah.
Psalm 83:9	Do unto them as [unto] the Midianites; as [to] Sisera, as [to] Jabin, at the brook of Kison:
Psalm 83:10	[Which] perished at Endor: they became [as] dung for the earth.
Psalm 83:11	Make their nobles like Oreb, and like Zeeb: yea, all their princes as Zebah, and as Zalmunna:
Psalm 83:12	Who said, Let us take to ourselves the houses of God in possession.
Psalm 83:13	O my God, make them like a wheel; as the stubble before the wind.
Psalm 83:14	As the fire burneth a wood, and as the flame setteth the mountains on fire;
Psalm 83:15	So persecute them with thy tempest, and make them afraid with thy storm.
Psalm 83:16	Fill their faces with shame; that they may seek thy name, O LORD.
Psalm 83:17	Let them be confounded and troubled for ever; yea, let them be put to shame, and perish:
Psalm 83:18	That [men] may know that thou, whose name alone [is] JEHOVAH, [art] the most high over all the earth.
Psalm 84:1	To the chief Musician upon Gittith, A Psalm for the sons of Korah. How amiable [are] thy tabernacles, O LORD of hosts!
Psalm 84:2	My soul longeth, yea, even fainteth for the courts of the LORD: my heart and my flesh crieth out for the living God.
Psalm 84:3	Yea, the sparrow hath found an house, and the swallow a nest for herself, where she may lay her young, [even] thine altars, O LORD of hosts, my King, and my God.
Psalm 84:4	Blessed [are] they that dwell in thy house: they will be still praising thee. Selah.
Psalm 84:5	Blessed [is] the man whose strength [is] in thee; in whose heart [are] the ways [of them].
Psalm 84:6	[Who] passing through the valley of Baca make it a well; the rain also filleth the pools.
Psalm 84:7	They go from strength to strength, [every one of them] in Zion appeareth before God.
Psalm 84:8	O LORD God of hosts, hear my prayer: give ear, O God of Jacob. Selah.
Psalm 84:9	Behold, O God our shield, and look upon the face of thine anointed.
Psalm 84:10	For a day in thy courts [is] better than a thousand. I had rather be a doorkeeper in the house of my God, than to dwell in the tents of wickedness.
Psalm 84:11	For the LORD God [is] a sun and shield: the LORD will give grace and glory: no good [thing] will he withhold from them that walk uprightly.
Psalm 84:12	O LORD of hosts, blessed [is] the man that trusteth in thee.
Psalm 85:1	To the chief Musician, A Psalm for the sons of Korah. LORD, thou hast been favourable unto thy land: thou hast brought back the captivity of Jacob.
Psalm 85:2	Thou hast forgiven the iniquity of thy people, thou hast covered all their sin. Selah.
Psalm 85:3	Thou hast taken away all thy wrath: thou hast turned [thyself] from the fierceness of thine anger.
Psalm 85:4	Turn us, O God of our salvation, and cause thine anger toward us to cease.
Psalm 85:5	Wilt thou be angry with us for ever? wilt thou draw out thine anger to all generations?
Psalm 85:6	Wilt thou not revive us again: that thy people may rejoice in thee?
Psalm 85:7	Shew us thy mercy, O LORD, and grant us thy salvation.
Psalm 85:8	I will hear what God the LORD will speak: for he will speak peace unto his people, and to his saints: but let them not turn again to folly.
Psalm 85:9	Surely his salvation [is] nigh them that fear him; that glory may dwell in our land.
Psalm 85:10	Mercy and truth are met together; righteousness and peace have kissed [each other].
Psalm 85:11	Truth shall spring out of the earth; and righteousness shall look down from heaven.
Psalm 85:12	Yea, the LORD shall give [that which is] good; and our land shall yield her increase.
Psalm 85:13	Righteousness shall go before him; and shall set [us] in the way of his steps.
Psalm 86:1	A Prayer of David. Bow down thine ear, O LORD, hear me: for I [am] poor and needy.
Psalm 86:2	Preserve my soul; for I [am] holy: O thou my God, save thy servant that trusteth in thee.
Psalm 86:3	Be merciful unto me, O Lord: for I cry unto thee daily.
Psalm 86:4	Rejoice the soul of thy servant: for unto thee, O Lord, do I lift up my soul.
Psalm 86:5	For thou, Lord, [art] good, and ready to forgive; and plenteous in mercy unto all them that call upon thee.
Psalm 86:6	Give ear, O LORD, unto my prayer; and attend to the voice of my supplications.
Psalm 86:7	In the day of my trouble I will call upon thee: for thou wilt answer me.
Psalm 86:8	Among the gods [there is] none like unto thee, O Lord; neither [are there any works] like unto thy works.
Psalm 86:9	All nations whom thou hast made shall come and worship before thee, O Lord; and shall glorify thy name.
Psalm 86:10	For thou [art] great, and doest wondrous things: thou [art] God alone.
Psalm 86:11	Teach me thy way, O LORD; I will walk in thy truth: unite my heart to fear thy name.
Psalm 86:12	I will praise thee, O Lord my God, with all my heart: and I will glorify thy name for evermore.
Psalm 86:13	For great [is] thy mercy toward me: and thou hast delivered my soul from the lowest hell.
Psalm 86:14	O God, the proud are risen against me, and the assemblies of violent [men] have sought after my soul; and have not set thee before them.
Psalm 86:15	But thou, O Lord, [art] a God full of compassion, and gracious, longsuffering, and plenteous in mercy and truth.
Psalm 86:16	O turn unto me, and have mercy upon me; give thy strength unto thy servant, and save the son of thine handmaid.
Psalm 86:17	Shew me a token for good; that they which hate me may see [it], and be ashamed: because thou, LORD, hast holpen me, and comforted me.
Psalm 87:1	A Psalm [or] Song for the sons of Korah. His foundation [is] in the holy mountains.
Psalm 87:2	The LORD loveth the gates of Zion more than all the dwellings of Jacob.
Psalm 87:3	Glorious things are spoken of thee, O city of God. Selah.
Psalm 87:4	I will make mention of Rahab and Babylon to them that know me: behold Philistia, and Tyre, with Ethiopia; this [man] was born there.
Psalm 87:5	And of Zion it shall be said, This and that man was born in her: and the highest himself shall establish her.
Psalm 87:6	The LORD shall count, when he writeth up the people, [that] this [man] was born there. Selah.
Psalm 87:7	As well the singers as the players on instruments [shall be there]: all my springs [are] in thee.
Psalm 88:1	A Song [or] Psalm for the sons of Korah, to the chief Musician upon Mahalath Leannoth, Maschil of Heman the Ezrahite. O LORD God of my salvation, I have cried day [and] night before thee:
Psalm 88:2	Let my prayer come before thee: incline thine ear unto my cry;
Psalm 88:3	For my soul is full of troubles: and my life draweth nigh unto the grave.
Psalm 88:4	I am counted with them that go down into the pit: I am as a man [that hath] no strength:
Psalm 88:5	Free among the dead, like the slain that lie in the grave, whom thou rememberest no more: and they are cut off from thy hand.
Psalm 88:6	Thou hast laid me in the lowest pit, in darkness, in the deeps.
Psalm 88:7	Thy wrath lieth hard upon me, and thou hast afflicted [me] with all thy waves. Selah.
Psalm 88:8	Thou hast put away mine acquaintance far from me; thou hast made me an abomination unto them: [I am] shut up, and I cannot come forth.
Psalm 88:9	Mine eye mourneth by reason of affliction: LORD, I have called daily upon thee, I have stretched out my hands unto thee.
Psalm 88:10	Wilt thou shew wonders to the dead? shall the dead arise [and] praise thee? Selah.
Psalm 88:11	Shall thy lovingkindness be declared in the grave? [or] thy faithfulness in destruction?
Psalm 88:12	Shall thy wonders be known in the dark? and thy righteousness in the land of forgetfulness?
Psalm 88:13	But unto thee have I cried, O LORD; and in the morning shall my prayer prevent thee.
Psalm 88:14	LORD, why castest thou off my soul? [why] hidest thou thy face from me?
Psalm 88:15	I [am] afflicted and ready to die from [my] youth up: [while] I suffer thy terrors I am distracted.
Psalm 88:16	Thy fierce wrath goeth over me; thy terrors have cut me off.
Psalm 88:17	They came round about me daily like water; they compassed me about together.
Psalm 88:18	Lover and friend hast thou put far from me, [and] mine acquaintance into darkness.
Psalm 89:1	Maschil of Ethan the Ezrahite. I will sing of the mercies of the LORD for ever: with my mouth will I make known thy faithfulness to all generations.
Psalm 89:2	For I have said, Mercy shall be built up for ever: thy faithfulness shalt thou establish in the very heavens.
Psalm 89:3	I have made a covenant with my chosen, I have sworn unto David my servant,
Psalm 89:4	Thy seed will I establish for ever, and build up thy throne to all generations. Selah.
Psalm 89:5	And the heavens shall praise thy wonders, O LORD: thy faithfulness also in the congregation of the saints.
Psalm 89:6	For who in the heaven can be compared unto the LORD? [who] among the sons of the mighty can be likened unto the LORD?
Psalm 89:7	God is greatly to be feared in the assembly of the saints, and to be had in reverence of all [them that are] about him.
Psalm 89:8	O LORD God of hosts, who [is] a strong LORD like unto thee? or to thy faithfulness round about thee?
Psalm 89:9	Thou rulest the raging of the sea: when the waves thereof arise, thou stillest them.
Psalm 89:10	Thou hast broken Rahab in pieces, as one that is slain; thou hast scattered thine enemies with thy strong arm.
Psalm 89:11	The heavens [are] thine, the earth also [is] thine: [as for] the world and the fulness thereof, thou hast founded them.
Psalm 89:12	The north and the south thou hast created them: Tabor and Hermon shall rejoice in thy name.
Psalm 89:13	Thou hast a mighty arm: strong is thy hand, [and] high is thy right hand.
Psalm 89:14	Justice and judgment [are] the habitation of thy throne: mercy and truth shall go before thy face.
Psalm 89:15	Blessed [is] the people that know the joyful sound: they shall walk, O LORD, in the light of thy countenance.
Psalm 89:16	In thy name shall they rejoice all the day: and in thy righteousness shall they be exalted.
Psalm 89:17	For thou [art] the glory of their strength: and in thy favour our horn shall be exalted.
Psalm 89:18	For the LORD [is] our defence; and the Holy One of Israel [is] our king.
Psalm 89:19	Then thou spakest in vision to thy holy one, and saidst, I have laid help upon [one that is] mighty; I have exalted [one] chosen out of the people.
Psalm 89:20	I have found David my servant; with my holy oil have I anointed him:
Psalm 89:21	With whom my hand shall be established: mine arm also shall strengthen him.
Psalm 89:22	The enemy shall not exact upon him; nor the son of wickedness afflict him.
Psalm 89:23	And I will beat down his foes before his face, and plague them that hate him.
Psalm 89:24	But my faithfulness and my mercy [shall be] with him: and in my name shall his horn be exalted.
Psalm 89:25	I will set his hand also in the sea, and his right hand in the rivers.
Psalm 89:26	He shall cry unto me, Thou [art] my father, my God, and the rock of my salvation.
Psalm 89:27	Also I will make him [my] firstborn, higher than the kings of the earth.
Psalm 89:28	My mercy will I keep for him for evermore, and my covenant shall stand fast with him.
Psalm 89:29	His seed also will I make [to endure] for ever, and his throne as the days of heaven.
Psalm 89:30	If his children forsake my law, and walk not in my judgments;
Psalm 89:31	If they break my statutes, and keep not my commandments;
Psalm 89:32	Then will I visit their transgression with the rod, and their iniquity with stripes.
Psalm 89:33	Nevertheless my lovingkindness will I not utterly take from him, nor suffer my faithfulness to fail.
Psalm 89:34	My covenant will I not break, nor alter the thing that is gone out of my lips.
Psalm 89:35	Once have I sworn by my holiness that I will not lie unto David.
Psalm 89:36	His seed shall endure for ever, and his throne as the sun before me.
Psalm 89:37	It shall be established for ever as the moon, and [as] a faithful witness in heaven. Selah.
Psalm 89:38	But thou hast cast off and abhorred, thou hast been wroth with thine anointed.
Psalm 89:39	Thou hast made void the covenant of thy servant: thou hast profaned his crown [by casting it] to the ground.
Psalm 89:40	Thou hast broken down all his hedges; thou hast brought his strong holds to ruin.
Psalm 89:41	All that pass by the way spoil him: he is a reproach to his neighbours.
Psalm 89:42	Thou hast set up the right hand of his adversaries; thou hast made all his enemies to rejoice.
Psalm 89:43	Thou hast also turned the edge of his sword, and hast not made him to stand in the battle.
Psalm 89:44	Thou hast made his glory to cease, and cast his throne down to the ground.
Psalm 89:45	The days of his youth hast thou shortened: thou hast covered him with shame. Selah.
Psalm 89:46	How long, LORD? wilt thou hide thyself for ever? shall thy wrath burn like fire?
Psalm 89:47	Remember how short my time is: wherefore hast thou made all men in vain?
Psalm 89:48	What man [is he that] liveth, and shall not see death? shall he deliver his soul from the hand of the grave? Selah.
Psalm 89:49	Lord, where [are] thy former lovingkindnesses, [which] thou swarest unto David in thy truth?
Psalm 89:50	Remember, Lord, the reproach of thy servants; [how] I do bear in my bosom [the reproach of] all the mighty people;
Psalm 89:51	Wherewith thine enemies have reproached, O LORD; wherewith they have reproached the footsteps of thine anointed.
Psalm 89:52	Blessed [be] the LORD for evermore. Amen, and Amen.
Psalm 90:1	A Prayer of Moses the man of God. Lord, thou hast been our dwelling place in all generations.
Psalm 90:2	Before the mountains were brought forth, or ever thou hadst formed the earth and the world, even from everlasting to everlasting, thou [art] God.
Psalm 90:3	Thou turnest man to destruction; and sayest, Return, ye children of men.
Psalm 90:4	For a thousand years in thy sight [are but] as yesterday when it is past, and [as] a watch in the night.
Psalm 90:5	Thou carriest them away as with a flood; they are [as] a sleep: in the morning [they are] like grass [which] groweth up.
Psalm 90:6	In the morning it flourisheth, and groweth up; in the evening it is cut down, and withereth.
Psalm 90:7	For we are consumed by thine anger, and by thy wrath are we troubled.
Psalm 90:8	Thou hast set our iniquities before thee, our secret [sins] in the light of thy countenance.
Psalm 90:9	For all our days are passed away in thy wrath: we spend our years as a tale [that is told].
Psalm 90:10	The days of our years [are] threescore years and ten; and if by reason of strength [they be] fourscore years, yet [is] their strength labour and sorrow; for it is soon cut off, and we fly away.
Psalm 90:11	Who knoweth the power of thine anger? even according to thy fear, [so is] thy wrath.
Psalm 90:12	So teach [us] to number our days, that we may apply [our] hearts unto wisdom.
Psalm 90:13	Return, O LORD, how long? and let it repent thee concerning thy servants.
Psalm 90:14	O satisfy us early with thy mercy; that we may rejoice and be glad all our days.
Psalm 90:15	Make us glad according to the days [wherein] thou hast afflicted us, [and] the years [wherein] we have seen evil.
Psalm 90:16	Let thy work appear unto thy servants, and thy glory unto their children.
Psalm 90:17	And let the beauty of the LORD our God be upon us: and establish thou the work of our hands upon us; yea, the work of our hands establish thou it.
Psalm 91:1	He that dwelleth in the secret place of the most High shall abide under the shadow of the Almighty.
Psalm 91:2	I will say of the LORD, [He is] my refuge and my fortress: my God; in him will I trust.
Psalm 91:3	Surely he shall deliver thee from the snare of the fowler, [and] from the noisome pestilence.
Psalm 91:4	He shall cover thee with his feathers, and under his wings shalt thou trust: his truth [shall be thy] shield and buckler.
Psalm 91:5	Thou shalt not be afraid for the terror by night; [nor] for the arrow [that] flieth by day;
Psalm 91:6	[Nor] for the pestilence [that] walketh in darkness; [nor] for the destruction [that] wasteth at noonday.
Psalm 91:7	A thousand shall fall at thy side, and ten thousand at thy right hand; [but] it shall not come nigh thee.
Psalm 91:8	Only with thine eyes shalt thou behold and see the reward of the wicked.
Psalm 91:9	Because thou hast made the LORD, [which is] my refuge, [even] the most High, thy habitation;
Psalm 91:10	There shall no evil befall thee, neither shall any plague come nigh thy dwelling.
Psalm 91:11	For he shall give his angels charge over thee, to keep thee in all thy ways.
Psalm 91:12	They shall bear thee up in [their] hands, lest thou dash thy foot against a stone.
Psalm 91:13	Thou shalt tread upon the lion and adder: the young lion and the dragon shalt thou trample under feet.
Psalm 91:14	Because he hath set his love upon me, therefore will I deliver him: I will set him on high, because he hath known my name.
Psalm 91:15	He shall call upon me, and I will answer him: I [will be] with him in trouble; I will deliver him, and honour him.
Psalm 91:16	With long life will I satisfy him, and shew him my salvation.
Psalm 92:1	A Psalm [or] Song for the sabbath day. [It is a] good [thing] to give thanks unto the LORD, and to sing praises unto thy name, O most High:
Psalm 92:2	To shew forth thy lovingkindness in the morning, and thy faithfulness every night,
Psalm 92:3	Upon an instrument of ten strings, and upon the psaltery; upon the harp with a solemn sound.
Psalm 92:4	For thou, LORD, hast made me glad through thy work: I will triumph in the works of thy hands.
Psalm 92:5	O LORD, how great are thy works! [and] thy thoughts are very deep.
Psalm 92:6	A brutish man knoweth not; neither doth a fool understand this.
Psalm 92:7	When the wicked spring as the grass, and when all the workers of iniquity do flourish; [it is] that they shall be destroyed for ever:
Psalm 92:8	But thou, LORD, [art most] high for evermore.
Psalm 92:9	For, lo, thine enemies, O LORD, for, lo, thine enemies shall perish; all the workers of iniquity shall be scattered.
Psalm 92:10	But my horn shalt thou exalt like [the horn of] an unicorn: I shall be anointed with fresh oil.
Psalm 92:11	Mine eye also shall see [my desire] on mine enemies, [and] mine ears shall hear [my desire] of the wicked that rise up against me.
Psalm 92:12	The righteous shall flourish like the palm tree: he shall grow like a cedar in Lebanon.
Psalm 92:13	Those that be planted in the house of the LORD shall flourish in the courts of our God.
Psalm 92:14	They shall still bring forth fruit in old age; they shall be fat and flourishing;
Psalm 92:15	To shew that the LORD [is] upright: [he is] my rock, and [there is] no unrighteousness in him.
Psalm 93:1	The LORD reigneth, he is clothed with majesty; the LORD is clothed with strength, [wherewith] he hath girded himself: the world also is stablished, that it cannot be moved.
Psalm 93:2	Thy throne [is] established of old: thou [art] from everlasting.
Psalm 93:3	The floods have lifted up, O LORD, the floods have lifted up their voice; the floods lift up their waves.
Psalm 93:4	The LORD on high [is] mightier than the noise of many waters, [yea, than] the mighty waves of the sea.
Psalm 93:5	Thy testimonies are very sure: holiness becometh thine house, O LORD, for ever.
Psalm 94:1	O LORD God, to whom vengeance belongeth; O God, to whom vengeance belongeth, shew thyself.
Psalm 94:2	Lift up thyself, thou judge of the earth: render a reward to the proud.
Psalm 94:3	LORD, how long shall the wicked, how long shall the wicked triumph?
Psalm 94:4	[How long] shall they utter [and] speak hard things? [and] all the workers of iniquity boast themselves?
Psalm 94:5	They break in pieces thy people, O LORD, and afflict thine heritage.
Psalm 94:6	They slay the widow and the stranger, and murder the fatherless.
Psalm 94:7	Yet they say, The LORD shall not see, neither shall the God of Jacob regard [it].
Psalm 94:8	Understand, ye brutish among the people: and [ye] fools, when will ye be wise?
Psalm 94:9	He that planted the ear, shall he not hear? he that formed the eye, shall he not see?
Psalm 94:10	He that chastiseth the heathen, shall not he correct? he that teacheth man knowledge, [shall not he know]?
Psalm 94:11	The LORD knoweth the thoughts of man, that they [are] vanity.
Psalm 94:12	Blessed [is] the man whom thou chastenest, O LORD, and teachest him out of thy law;
Psalm 94:13	That thou mayest give him rest from the days of adversity, until the pit be digged for the wicked.
Psalm 94:14	For the LORD will not cast off his people, neither will he forsake his inheritance.
Psalm 94:15	But judgment shall return unto righteousness: and all the upright in heart shall follow it.
Psalm 94:16	Who will rise up for me against the evildoers? [or] who will stand up for me against the workers of iniquity?
Psalm 94:17	Unless the LORD [had been] my help, my soul had almost dwelt in silence.
Psalm 94:18	When I said, My foot slippeth; thy mercy, O LORD, held me up.
Psalm 94:19	In the multitude of my thoughts within me thy comforts delight my soul.
Psalm 94:20	Shall the throne of iniquity have fellowship with thee, which frameth mischief by a law?
Psalm 94:21	They gather themselves together against the soul of the righteous, and condemn the innocent blood.
Psalm 94:22	But the LORD is my defence; and my God [is] the rock of my refuge.
Psalm 94:23	And he shall bring upon them their own iniquity, and shall cut them off in their own wickedness; [yea], the LORD our God shall cut them off.
Psalm 95:1	O come, let us sing unto the LORD: let us make a joyful noise to the rock of our salvation.
Psalm 95:2	Let us come before his presence with thanksgiving, and make a joyful noise unto him with psalms.
Psalm 95:3	For the LORD [is] a great God, and a great King above all gods.
Psalm 95:4	In his hand [are] the deep places of the earth: the strength of the hills [is] his also.
Psalm 95:5	The sea [is] his, and he made it: and his hands formed the dry [land].
Psalm 95:6	O come, let us worship and bow down: let us kneel before the LORD our maker.
Psalm 95:7	For he [is] our God; and we [are] the people of his pasture, and the sheep of his hand. To day if ye will hear his voice,
Psalm 95:8	Harden not your heart, as in the provocation, [and] as [in] the day of temptation in the wilderness:
Psalm 95:9	When your fathers tempted me, proved me, and saw my work.
Psalm 95:10	Forty years long was I grieved with [this] generation, and said, It [is] a people that do err in their heart, and they have not known my ways:
Psalm 95:11	Unto whom I sware in my wrath that they should not enter into my rest.
Psalm 96:1	O sing unto the LORD a new song: sing unto the LORD, all the earth.
Psalm 96:2	Sing unto the LORD, bless his name; shew forth his salvation from day to day.
Psalm 96:3	Declare his glory among the heathen, his wonders among all people.
Psalm 96:4	For the LORD [is] great, and greatly to be praised: he [is] to be feared above all gods.
Psalm 96:5	For all the gods of the nations [are] idols: but the LORD made the heavens.
Psalm 96:6	Honour and majesty [are] before him: strength and beauty [are] in his sanctuary.
Psalm 96:7	Give unto the LORD, O ye kindreds of the people, give unto the LORD glory and strength.
Psalm 96:8	Give unto the LORD the glory [due unto] his name: bring an offering, and come into his courts.
Psalm 96:9	O worship the LORD in the beauty of holiness: fear before him, all the earth.
Psalm 96:10	Say among the heathen [that] the LORD reigneth: the world also shall be established that it shall not be moved: he shall judge the people righteously.
Psalm 96:11	Let the heavens rejoice, and let the earth be glad; let the sea roar, and the fulness thereof.
Psalm 96:12	Let the field be joyful, and all that [is] therein: then shall all the trees of the wood rejoice
Psalm 96:13	Before the LORD: for he cometh, for he cometh to judge the earth: he shall judge the world with righteousness, and the people with his truth.
Psalm 97:1	The LORD reigneth; let the earth rejoice; let the multitude of isles be glad [thereof].
Psalm 97:2	Clouds and darkness [are] round about him: righteousness and judgment [are] the habitation of his throne.
Psalm 97:3	A fire goeth before him, and burneth up his enemies round about.
Psalm 97:4	His lightnings enlightened the world: the earth saw, and trembled.
Psalm 97:5	The hills melted like wax at the presence of the LORD, at the presence of the Lord of the whole earth.
Psalm 97:6	The heavens declare his righteousness, and all the people see his glory.
Psalm 97:7	Confounded be all they that serve graven images, that boast themselves of idols: worship him, all [ye] gods.
Psalm 97:8	Zion heard, and was glad; and the daughters of Judah rejoiced because of thy judgments, O LORD.
Psalm 97:9	For thou, LORD, [art] high above all the earth: thou art exalted far above all gods.
Psalm 97:10	Ye that love the LORD, hate evil: he preserveth the souls of his saints; he delivereth them out of the hand of the wicked.
Psalm 97:11	Light is sown for the righteous, and gladness for the upright in heart.
Psalm 97:12	Rejoice in the LORD, ye righteous; and give thanks at the remembrance of his holiness.
Psalm 98:1	A Psalm. O sing unto the LORD a new song; for he hath done marvellous things: his right hand, and his holy arm, hath gotten him the victory.
Psalm 98:2	The LORD hath made known his salvation: his righteousness hath he openly shewed in the sight of the heathen.
Psalm 98:3	He hath remembered his mercy and his truth toward the house of Israel: all the ends of the earth have seen the salvation of our God.
Psalm 98:4	Make a joyful noise unto the LORD, all the earth: make a loud noise, and rejoice, and sing praise.
Psalm 98:5	Sing unto the LORD with the harp; with the harp, and the voice of a psalm.
Psalm 98:6	With trumpets and sound of cornet make a joyful noise before the LORD, the King.
Psalm 98:7	Let the sea roar, and the fulness thereof; the world, and they that dwell therein.
Psalm 98:8	Let the floods clap [their] hands: let the hills be joyful together
Psalm 98:9	Before the LORD; for he cometh to judge the earth: with righteousness shall he judge the world, and the people with equity.
Psalm 99:1	The LORD reigneth; let the people tremble: he sitteth [between] the cherubims; let the earth be moved.
Psalm 99:2	The LORD [is] great in Zion; and he [is] high above all the people.
Psalm 99:3	Let them praise thy great and terrible name; [for] it [is] holy.
Psalm 99:4	The king’s strength also loveth judgment; thou dost establish equity, thou executest judgment and righteousness in Jacob.
Psalm 99:5	Exalt ye the LORD our God, and worship at his footstool; [for] he [is] holy.
Psalm 99:6	Moses and Aaron among his priests, and Samuel among them that call upon his name; they called upon the LORD, and he answered them.
Psalm 99:7	He spake unto them in the cloudy pillar: they kept his testimonies, and the ordinance [that] he gave them.
Psalm 99:8	Thou answeredst them, O LORD our God: thou wast a God that forgavest them, though thou tookest vengeance of their inventions.
Psalm 99:9	Exalt the LORD our God, and worship at his holy hill; for the LORD our God [is] holy.
Psalm 100:1	A Psalm of praise. Make a joyful noise unto the LORD, all ye lands.
Psalm 100:2	Serve the LORD with gladness: come before his presence with singing.
Psalm 100:3	Know ye that the LORD he [is] God: [it is] he [that] hath made us, and not we ourselves; [we are] his people, and the sheep of his pasture.
Psalm 100:4	Enter into his gates with thanksgiving, [and] into his courts with praise: be thankful unto him, [and] bless his name.
Psalm 100:5	For the LORD [is] good; his mercy [is] everlasting; and his truth [endureth] to all generations.
Psalm 101:1	A Psalm of David. I will sing of mercy and judgment: unto thee, O LORD, will I sing.
Psalm 101:2	I will behave myself wisely in a perfect way. O when wilt thou come unto me? I will walk within my house with a perfect heart.
