Joshua 19:35	And the fenced cities [are] Ziddim, Zer, and Hammath, Rakkath, and Chinnereth,
Judges 9:40	And Abimelech chased him, and he fled before him, and many were overthrown [and] wounded, [even] unto the entering of the gate.
Judges 9:41	And Abimelech dwelt at Arumah: and Zebul thrust out Gaal and his brethren, that they should not dwell in Shechem.
Judges 9:42	And it came to pass on the morrow, that the people went out into the field; and they told Abimelech.
Judges 9:43	And he took the people, and divided them into three companies, and laid wait in the field, and looked, and, behold, the people [were] come forth out of the city; and he rose up against them, and smote them.
Judges 9:44	And Abimelech, and the company that [was] with him, rushed forward, and stood in the entering of the gate of the city: and the two [other] companies ran upon all [the people] that [were] in the fields, and slew them.
Judges 9:45	And Abimelech fought against the city all that day; and he took the city, and slew the people that [was] therein, and beat down the city, and sowed it with salt.
Judges 9:46	And when all the men of the tower of Shechem heard [that], they entered into an hold of the house of the god Berith.
Judges 9:47	And it was told Abimelech, that all the men of the tower of Shechem were gathered together.
Judges 9:48	And Abimelech gat him up to mount Zalmon, he and all the people that [were] with him; and Abimelech took an axe in his hand, and cut down a bough from the trees, and took it, and laid [it] on his shoulder, and said unto the people that [were] with him, What ye have seen me do, make haste, [and] do as I [have done].
Judges 9:49	And all the people likewise cut down every man his bough, and followed Abimelech, and put [them] to the hold, and set the hold on fire upon them; so that all the men of the tower of Shechem died also, about a thousand men and women.
Judges 9:50	Then went Abimelech to Thebez, and encamped against Thebez, and took it.
Judges 9:51	But there was a strong tower within the city, and thither fled all the men and women, and all they of the city, and shut [it] to them, and gat them up to the top of the tower.
Judges 9:52	And Abimelech came unto the tower, and fought against it, and went hard unto the door of the tower to burn it with fire.
Judges 9:53	And a certain woman cast a piece of a millstone upon Abimelech’s head, and all to brake his skull.
Judges 9:54	Then he called hastily unto the young man his armourbearer, and said unto him, Draw thy sword, and slay me, that men say not of me, A woman slew him. And his young man thrust him through, and he died.
Judges 9:55	And when the men of Israel saw that Abimelech was dead, they departed every man unto his place.
Judges 9:56	Thus God rendered the wickedness of Abimelech, which he did unto his father, in slaying his seventy brethren:
Judges 9:57	And all the evil of the men of Shechem did God render upon their heads: and upon them came the curse of Jotham the son of Jerubbaal.
Judges 10:1	And after Abimelech there arose to defend Israel Tola the son of Puah, the son of Dodo, a man of Issachar; and he dwelt in Shamir in mount Ephraim.
Judges 10:2	And he judged Israel twenty and three years, and died, and was buried in Shamir.
Judges 10:3	And after him arose Jair, a Gileadite, and judged Israel twenty and two years.
Judges 10:4	And he had thirty sons that rode on thirty ass colts, and they had thirty cities, which are called Havothjair unto this day, which [are] in the land of Gilead.
Judges 10:5	And Jair died, and was buried in Camon.
Judges 10:6	And the children of Israel did evil again in the sight of the LORD, and served Baalim, and Ashtaroth, and the gods of Syria, and the gods of Zidon, and the gods of Moab, and the gods of the children of Ammon, and the gods of the Philistines, and forsook the LORD, and served not him.
Judges 10:7	And the anger of the LORD was hot against Israel, and he sold them into the hands of the Philistines, and into the hands of the children of Ammon.
Judges 10:8	And that year they vexed and oppressed the children of Israel: eighteen years, all the children of Israel that [were] on the other side Jordan in the land of the Amorites, which [is] in Gilead.
Judges 10:9	Moreover the children of Ammon passed over Jordan to fight also against Judah, and against Benjamin, and against the house of Ephraim; so that Israel was sore distressed.
Judges 10:10	And the children of Israel cried unto the LORD, saying, We have sinned against thee, both because we have forsaken our God, and also served Baalim.
Judges 10:11	And the LORD said unto the children of Israel, [Did] not [I deliver you] from the Egyptians, and from the Amorites, from the children of Ammon, and from the Philistines?
Judges 10:12	The Zidonians also, and the Amalekites, and the Maonites, did oppress you; and ye cried to me, and I delivered you out of their hand.
Judges 10:13	Yet ye have forsaken me, and served other gods: wherefore I will deliver you no more.
Judges 10:14	Go and cry unto the gods which ye have chosen; let them deliver you in the time of your tribulation.
Judges 10:15	And the children of Israel said unto the LORD, We have sinned: do thou unto us whatsoever seemeth good unto thee; deliver us only, we pray thee, this day.
Judges 10:16	And they put away the strange gods from among them, and served the LORD: and his soul was grieved for the misery of Israel.
Judges 10:17	Then the children of Ammon were gathered together, and encamped in Gilead. And the children of Israel assembled themselves together, and encamped in Mizpeh.
Judges 10:18	And the people [and] princes of Gilead said one to another, What man [is he] that will begin to fight against the children of Ammon? he shall be head over all the inhabitants of Gilead.
Judges 11:1	Now Jephthah the Gileadite was a mighty man of valour, and he [was] the son of an harlot: and Gilead begat Jephthah.
Judges 11:2	And Gilead’s wife bare him sons; and his wife’s sons grew up, and they thrust out Jephthah, and said unto him, Thou shalt not inherit in our father’s house; for thou [art] the son of a strange woman.
Judges 11:3	Then Jephthah fled from his brethren, and dwelt in the land of Tob: and there were gathered vain men to Jephthah, and went out with him.
Judges 11:4	And it came to pass in process of time, that the children of Ammon made war against Israel.
Judges 11:5	And it was so, that when the children of Ammon made war against Israel, the elders of Gilead went to fetch Jephthah out of the land of Tob:
Judges 11:6	And they said unto Jephthah, Come, and be our captain, that we may fight with the children of Ammon.
Judges 11:7	And Jephthah said unto the elders of Gilead, Did not ye hate me, and expel me out of my father’s house? and why are ye come unto me now when ye are in distress?
Judges 11:8	And the elders of Gilead said unto Jephthah, Therefore we turn again to thee now, that thou mayest go with us, and fight against the children of Ammon, and be our head over all the inhabitants of Gilead.
Judges 11:9	And Jephthah said unto the elders of Gilead, If ye bring me home again to fight against the children of Ammon, and the LORD deliver them before me, shall I be your head?
Judges 11:10	And the elders of Gilead said unto Jephthah, The LORD be witness between us, if we do not so according to thy words.
Judges 11:11	Then Jephthah went with the elders of Gilead, and the people made him head and captain over them: and Jephthah uttered all his words before the LORD in Mizpeh.
Judges 11:12	And Jephthah sent messengers unto the king of the children of Ammon, saying, What hast thou to do with me, that thou art come against me to fight in my land?
Judges 11:13	And the king of the children of Ammon answered unto the messengers of Jephthah, Because Israel took away my land, when they came up out of Egypt, from Arnon even unto Jabbok, and unto Jordan: now therefore restore those [lands] again peaceably.
Judges 11:14	And Jephthah sent messengers again unto the king of the children of Ammon:
Judges 11:15	And said unto him, Thus saith Jephthah, Israel took not away the land of Moab, nor the land of the children of Ammon:
Judges 11:16	But when Israel came up from Egypt, and walked through the wilderness unto the Red sea, and came to Kadesh;
Judges 11:17	Then Israel sent messengers unto the king of Edom, saying, Let me, I pray thee, pass through thy land: but the king of Edom would not hearken [thereto]. And in like manner they sent unto the king of Moab: but he would not [consent]: and Israel abode in Kadesh.
Judges 11:18	Then they went along through the wilderness, and compassed the land of Edom, and the land of Moab, and came by the east side of the land of Moab, and pitched on the other side of Arnon, but came not within the border of Moab: for Arnon [was] the border of Moab.
Judges 11:19	And Israel sent messengers unto Sihon king of the Amorites, the king of Heshbon; and Israel said unto him, Let us pass, we pray thee, through thy land into my place.
Judges 11:20	But Sihon trusted not Israel to pass through his coast: but Sihon gathered all his people together, and pitched in Jahaz, and fought against Israel.
Judges 11:21	And the LORD God of Israel delivered Sihon and all his people into the hand of Israel, and they smote them: so Israel possessed all the land of the Amorites, the inhabitants of that country.
Judges 11:22	And they possessed all the coasts of the Amorites, from Arnon even unto Jabbok, and from the wilderness even unto Jordan.
Judges 11:23	So now the LORD God of Israel hath dispossessed the Amorites from before his people Israel, and shouldest thou possess it?
Judges 11:24	Wilt not thou possess that which Chemosh thy god giveth thee to possess? So whomsoever the LORD our God shall drive out from before us, them will we possess.
Judges 11:25	And now [art] thou any thing better than Balak the son of Zippor, king of Moab? did he ever strive against Israel, or did he ever fight against them,
Judges 11:26	While Israel dwelt in Heshbon and her towns, and in Aroer and her towns, and in all the cities that [be] along by the coasts of Arnon, three hundred years? why therefore did ye not recover [them] within that time?
Judges 11:27	Wherefore I have not sinned against thee, but thou doest me wrong to war against me: the LORD the Judge be judge this day between the children of Israel and the children of Ammon.
Judges 11:28	Howbeit the king of the children of Ammon hearkened not unto the words of Jephthah which he sent him.
Judges 11:29	Then the Spirit of the LORD came upon Jephthah, and he passed over Gilead, and Manasseh, and passed over Mizpeh of Gilead, and from Mizpeh of Gilead he passed over [unto] the children of Ammon.
Judges 11:30	And Jephthah vowed a vow unto the LORD, and said, If thou shalt without fail deliver the children of Ammon into mine hands,
Judges 11:31	Then it shall be, that whatsoever cometh forth of the doors of my house to meet me, when I return in peace from the children of Ammon, shall surely be the LORD’S, and I will offer it up for a burnt offering.
Judges 11:32	So Jephthah passed over unto the children of Ammon to fight against them; and the LORD delivered them into his hands.
Judges 11:33	And he smote them from Aroer, even till thou come to Minnith, [even] twenty cities, and unto the plain of the vineyards, with a very great slaughter. Thus the children of Ammon were subdued before the children of Israel.
Judges 11:34	And Jephthah came to Mizpeh unto his house, and, behold, his daughter came out to meet him with timbrels and with dances: and she [was his] only child; beside her he had neither son nor daughter.
Judges 11:35	And it came to pass, when he saw her, that he rent his clothes, and said, Alas, my daughter! thou hast brought me very low, and thou art one of them that trouble me: for I have opened my mouth unto the LORD, and I cannot go back.
Judges 11:36	And she said unto him, My father, [if] thou hast opened thy mouth unto the LORD, do to me according to that which hath proceeded out of thy mouth; forasmuch as the LORD hath taken vengeance for thee of thine enemies, [even] of the children of Ammon.
Judges 11:37	And she said unto her father, Let this thing be done for me: let me alone two months, that I may go up and down upon the mountains, and bewail my virginity, I and my fellows.
Judges 11:38	And he said, Go. And he sent her away [for] two months: and she went with her companions, and bewailed her virginity upon the mountains.
Judges 11:39	And it came to pass at the end of two months, that she returned unto her father, who did with her [according] to his vow which he had vowed: and she knew no man. And it was a custom in Israel,
Judges 11:40	[That] the daughters of Israel went yearly to lament the daughter of Jephthah the Gileadite four days in a year.
Judges 12:1	And the men of Ephraim gathered themselves together, and went northward, and said unto Jephthah, Wherefore passedst thou over to fight against the children of Ammon, and didst not call us to go with thee? we will burn thine house upon thee with fire.
Judges 12:2	And Jephthah said unto them, I and my people were at great strife with the children of Ammon; and when I called you, ye delivered me not out of their hands.
Judges 12:3	And when I saw that ye delivered [me] not, I put my life in my hands, and passed over against the children of Ammon, and the LORD delivered them into my hand: wherefore then are ye come up unto me this day, to fight against me?
Judges 12:4	Then Jephthah gathered together all the men of Gilead, and fought with Ephraim: and the men of Gilead smote Ephraim, because they said, Ye Gileadites [are] fugitives of Ephraim among the Ephraimites, [and] among the Manassites.
Judges 12:5	And the Gileadites took the passages of Jordan before the Ephraimites: and it was [so], that when those Ephraimites which were escaped said, Let me go over; that the men of Gilead said unto him, [Art] thou an Ephraimite? If he said, Nay;
Judges 12:6	Then said they unto him, Say now Shibboleth: and he said Sibboleth: for he could not frame to pronounce [it] right. Then they took him, and slew him at the passages of Jordan: and there fell at that time of the Ephraimites forty and two thousand.
Judges 12:7	And Jephthah judged Israel six years. Then died Jephthah the Gileadite, and was buried in [one of] the cities of Gilead.
Judges 12:8	And after him Ibzan of Bethlehem judged Israel.
Judges 12:9	And he had thirty sons, and thirty daughters, [whom] he sent abroad, and took in thirty daughters from abroad for his sons. And he judged Israel seven years.
Judges 12:10	Then died Ibzan, and was buried at Bethlehem.
Judges 12:11	And after him Elon, a Zebulonite, judged Israel; and he judged Israel ten years.
Judges 12:12	And Elon the Zebulonite died, and was buried in Aijalon in the country of Zebulun.
Judges 12:13	And after him Abdon the son of Hillel, a Pirathonite, judged Israel.
Judges 12:14	And he had forty sons and thirty nephews, that rode on threescore and ten ass colts: and he judged Israel eight years.
Judges 12:15	And Abdon the son of Hillel the Pirathonite died, and was buried in Pirathon in the land of Ephraim, in the mount of the Amalekites.
Judges 13:1	And the children of Israel did evil again in the sight of the LORD; and the LORD delivered them into the hand of the Philistines forty years.
Judges 13:2	And there was a certain man of Zorah, of the family of the Danites, whose name [was] Manoah; and his wife [was] barren, and bare not.
Judges 13:3	And the angel of the LORD appeared unto the woman, and said unto her, Behold now, thou [art] barren, and bearest not: but thou shalt conceive, and bear a son.
Judges 13:4	Now therefore beware, I pray thee, and drink not wine nor strong drink, and eat not any unclean [thing]:
Judges 13:5	For, lo, thou shalt conceive, and bear a son; and no rasor shall come on his head: for the child shall be a Nazarite unto God from the womb: and he shall begin to deliver Israel out of the hand of the Philistines.
Judges 13:6	Then the woman came and told her husband, saying, A man of God came unto me, and his countenance [was] like the countenance of an angel of God, very terrible: but I asked him not whence he [was], neither told he me his name:
Judges 13:7	But he said unto me, Behold, thou shalt conceive, and bear a son; and now drink no wine nor strong drink, neither eat any unclean [thing]: for the child shall be a Nazarite to God from the womb to the day of his death.
Judges 13:8	Then Manoah intreated the LORD, and said, O my Lord, let the man of God which thou didst send come again unto us, and teach us what we shall do unto the child that shall be born.
Judges 13:9	And God hearkened to the voice of Manoah; and the angel of God came again unto the woman as she sat in the field: but Manoah her husband [was] not with her.
Judges 13:10	And the woman made haste, and ran, and shewed her husband, and said unto him, Behold, the man hath appeared unto me, that came unto me the [other] day.
Judges 13:11	And Manoah arose, and went after his wife, and came to the man, and said unto him, [Art] thou the man that spakest unto the woman? And he said, I [am].
Judges 13:12	And Manoah said, Now let thy words come to pass. How shall we order the child, and [how] shall we do unto him?
Judges 13:13	And the angel of the LORD said unto Manoah, Of all that I said unto the woman let her beware.
Judges 13:14	She may not eat of any [thing] that cometh of the vine, neither let her drink wine or strong drink, nor eat any unclean [thing]: all that I commanded her let her observe.
Judges 13:15	And Manoah said unto the angel of the LORD, I pray thee, let us detain thee, until we shall have made ready a kid for thee.
Judges 13:16	And the angel of the LORD said unto Manoah, Though thou detain me, I will not eat of thy bread: and if thou wilt offer a burnt offering, thou must offer it unto the LORD. For Manoah knew not that he [was] an angel of the LORD.
Judges 13:17	And Manoah said unto the angel of the LORD, What [is] thy name, that when thy sayings come to pass we may do thee honour?
Judges 13:18	And the angel of the LORD said unto him, Why askest thou thus after my name, seeing it [is] secret?
Judges 13:19	So Manoah took a kid with a meat offering, and offered [it] upon a rock unto the LORD: and [the angel] did wondrously; and Manoah and his wife looked on.
Judges 13:20	For it came to pass, when the flame went up toward heaven from off the altar, that the angel of the LORD ascended in the flame of the altar. And Manoah and his wife looked on [it], and fell on their faces to the ground.
Judges 13:21	But the angel of the LORD did no more appear to Manoah and to his wife. Then Manoah knew that he [was] an angel of the LORD.
Judges 13:22	And Manoah said unto his wife, We shall surely die, because we have seen God.
Judges 13:23	But his wife said unto him, If the LORD were pleased to kill us, he would not have received a burnt offering and a meat offering at our hands, neither would he have shewed us all these [things], nor would as at this time have told us [such things] as these.
Judges 13:24	And the woman bare a son, and called his name Samson: and the child grew, and the LORD blessed him.
Judges 13:25	And the Spirit of the LORD began to move him at times in the camp of Dan between Zorah and Eshtaol.
Judges 14:1	And Samson went down to Timnath, and saw a woman in Timnath of the daughters of the Philistines.
Judges 14:2	And he came up, and told his father and his mother, and said, I have seen a woman in Timnath of the daughters of the Philistines: now therefore get her for me to wife.
Judges 14:3	Then his father and his mother said unto him, [Is there] never a woman among the daughters of thy brethren, or among all my people, that thou goest to take a wife of the uncircumcised Philistines? And Samson said unto his father, Get her for me; for she pleaseth me well.
Judges 14:4	But his father and his mother knew not that it [was] of the LORD, that he sought an occasion against the Philistines: for at that time the Philistines had dominion over Israel.
Judges 14:5	Then went Samson down, and his father and his mother, to Timnath, and came to the vineyards of Timnath: and, behold, a young lion roared against him.
Judges 14:6	And the Spirit of the LORD came mightily upon him, and he rent him as he would have rent a kid, and [he had] nothing in his hand: but he told not his father or his mother what he had done.
Judges 14:7	And he went down, and talked with the woman; and she pleased Samson well.
Judges 14:8	And after a time he returned to take her, and he turned aside to see the carcase of the lion: and, behold, [there was] a swarm of bees and honey in the carcase of the lion.
Judges 14:9	And he took thereof in his hands, and went on eating, and came to his father and mother, and he gave them, and they did eat: but he told not them that he had taken the honey out of the carcase of the lion.
Judges 14:10	So his father went down unto the woman: and Samson made there a feast; for so used the young men to do.
Judges 14:11	And it came to pass, when they saw him, that they brought thirty companions to be with him.
Judges 14:12	And Samson said unto them, I will now put forth a riddle unto you: if ye can certainly declare it me within the seven days of the feast, and find [it] out, then I will give you thirty sheets and thirty change of garments:
Judges 14:13	But if ye cannot declare [it] me, then shall ye give me thirty sheets and thirty change of garments. And they said unto him, Put forth thy riddle, that we may hear it.
Judges 14:14	And he said unto them, Out of the eater came forth meat, and out of the strong came forth sweetness. And they could not in three days expound the riddle.
Judges 14:15	And it came to pass on the seventh day, that they said unto Samson’s wife, Entice thy husband, that he may declare unto us the riddle, lest we burn thee and thy father’s house with fire: have ye called us to take that we have? [is it] not [so]?
Judges 14:16	And Samson’s wife wept before him, and said, Thou dost but hate me, and lovest me not: thou hast put forth a riddle unto the children of my people, and hast not told [it] me. And he said unto her, Behold, I have not told [it] my father nor my mother, and shall I tell [it] thee?
Judges 14:17	And she wept before him the seven days, while their feast lasted: and it came to pass on the seventh day, that he told her, because she lay sore upon him: and she told the riddle to the children of her people.
Judges 14:18	And the men of the city said unto him on the seventh day before the sun went down, What [is] sweeter than honey? and what [is] stronger than a lion? And he said unto them, If ye had not plowed with my heifer, ye had not found out my riddle.
Judges 14:19	And the Spirit of the LORD came upon him, and he went down to Ashkelon, and slew thirty men of them, and took their spoil, and gave change of garments unto them which expounded the riddle. And his anger was kindled, and he went up to his father’s house.
Judges 14:20	But Samson’s wife was [given] to his companion, whom he had used as his friend.
Judges 15:1	But it came to pass within a while after, in the time of wheat harvest, that Samson visited his wife with a kid; and he said, I will go in to my wife into the chamber. But her father would not suffer him to go in.
Judges 15:2	And her father said, I verily thought that thou hadst utterly hated her; therefore I gave her to thy companion: [is] not her younger sister fairer than she? take her, I pray thee, instead of her.
Judges 15:3	And Samson said concerning them, Now shall I be more blameless than the Philistines, though I do them a displeasure.
Judges 15:4	And Samson went and caught three hundred foxes, and took firebrands, and turned tail to tail, and put a firebrand in the midst between two tails.
Judges 15:5	And when he had set the brands on fire, he let [them] go into the standing corn of the Philistines, and burnt up both the shocks, and also the standing corn, with the vineyards [and] olives.
Judges 15:6	Then the Philistines said, Who hath done this? And they answered, Samson, the son in law of the Timnite, because he had taken his wife, and given her to his companion. And the Philistines came up, and burnt her and her father with fire.
Judges 15:7	And Samson said unto them, Though ye have done this, yet will I be avenged of you, and after that I will cease.
Judges 15:8	And he smote them hip and thigh with a great slaughter: and he went down and dwelt in the top of the rock Etam.
Judges 15:9	Then the Philistines went up, and pitched in Judah, and spread themselves in Lehi.
Judges 15:10	And the men of Judah said, Why are ye come up against us? And they answered, To bind Samson are we come up, to do to him as he hath done to us.
Judges 15:11	Then three thousand men of Judah went to the top of the rock Etam, and said to Samson, Knowest thou not that the Philistines [are] rulers over us? what [is] this [that] thou hast done unto us? And he said unto them, As they did unto me, so have I done unto them.
Judges 15:12	And they said unto him, We are come down to bind thee, that we may deliver thee into the hand of the Philistines. And Samson said unto them, Swear unto me, that ye will not fall upon me yourselves.
Judges 15:13	And they spake unto him, saying, No; but we will bind thee fast, and deliver thee into their hand: but surely we will not kill thee. And they bound him with two new cords, and brought him up from the rock.
Judges 15:14	[And] when he came unto Lehi, the Philistines shouted against him: and the Spirit of the LORD came mightily upon him, and the cords that [were] upon his arms became as flax that was burnt with fire, and his bands loosed from off his hands.
Judges 15:15	And he found a new jawbone of an ass, and put forth his hand, and took it, and slew a thousand men therewith.
Judges 15:16	And Samson said, With the jawbone of an ass, heaps upon heaps, with the jaw of an ass have I slain a thousand men.
Judges 15:17	And it came to pass, when he had made an end of speaking, that he cast away the jawbone out of his hand, and called that place Ramathlehi.
Judges 15:18	And he was sore athirst, and called on the LORD, and said, Thou hast given this great deliverance into the hand of thy servant: and now shall I die for thirst, and fall into the hand of the uncircumcised?
Judges 15:19	But God clave an hollow place that [was] in the jaw, and there came water thereout; and when he had drunk, his spirit came again, and he revived: wherefore he called the name thereof Enhakkore, which [is] in Lehi unto this day.
Judges 15:20	And he judged Israel in the days of the Philistines twenty years.
Judges 16:1	Then went Samson to Gaza, and saw there an harlot, and went in unto her.
Judges 16:2	[And it was told] the Gazites, saying, Samson is come hither. And they compassed [him] in, and laid wait for him all night in the gate of the city, and were quiet all the night, saying, In the morning, when it is day, we shall kill him.
Judges 16:3	And Samson lay till midnight, and arose at midnight, and took the doors of the gate of the city, and the two posts, and went away with them, bar and all, and put [them] upon his shoulders, and carried them up to the top of an hill that [is] before Hebron.
Judges 16:4	And it came to pass afterward, that he loved a woman in the valley of Sorek, whose name [was] Delilah.
Judges 16:5	And the lords of the Philistines came up unto her, and said unto her, Entice him, and see wherein his great strength [lieth], and by what [means] we may prevail against him, that we may bind him to afflict him: and we will give thee every one of us eleven hundred [pieces] of silver.
Judges 16:6	And Delilah said to Samson, Tell me, I pray thee, wherein thy great strength [lieth], and wherewith thou mightest be bound to afflict thee.
Judges 16:7	And Samson said unto her, If they bind me with seven green withs that were never dried, then shall I be weak, and be as another man.
Judges 16:8	Then the lords of the Philistines brought up to her seven green withs which had not been dried, and she bound him with them.
Judges 16:9	Now [there were] men lying in wait, abiding with her in the chamber. And she said unto him, The Philistines [be] upon thee, Samson. And he brake the withs, as a thread of tow is broken when it toucheth the fire. So his strength was not known.
Judges 16:10	And Delilah said unto Samson, Behold, thou hast mocked me, and told me lies: now tell me, I pray thee, wherewith thou mightest be bound.
Judges 16:11	And he said unto her, If they bind me fast with new ropes that never were occupied, then shall I be weak, and be as another man.
Judges 16:12	Delilah therefore took new ropes, and bound him therewith, and said unto him, The Philistines [be] upon thee, Samson. And [there were] liers in wait abiding in the chamber. And he brake them from off his arms like a thread.
Judges 16:13	And Delilah said unto Samson, Hitherto thou hast mocked me, and told me lies: tell me wherewith thou mightest be bound. And he said unto her, If thou weavest the seven locks of my head with the web.
Judges 16:14	And she fastened [it] with the pin, and said unto him, The Philistines [be] upon thee, Samson. And he awaked out of his sleep, and went away with the pin of the beam, and with the web.
Judges 16:15	And she said unto him, How canst thou say, I love thee, when thine heart [is] not with me? thou hast mocked me these three times, and hast not told me wherein thy great strength [lieth].
Judges 16:16	And it came to pass, when she pressed him daily with her words, and urged him, [so] that his soul was vexed unto death;
Judges 16:17	That he told her all his heart, and said unto her, There hath not come a rasor upon mine head; for I [have been] a Nazarite unto God from my mother’s womb: if I be shaven, then my strength will go from me, and I shall become weak, and be like any [other] man.
Judges 16:18	And when Delilah saw that he had told her all his heart, she sent and called for the lords of the Philistines, saying, Come up this once, for he hath shewed me all his heart. Then the lords of the Philistines came up unto her, and brought money in their hand.
Judges 16:19	And she made him sleep upon her knees; and she called for a man, and she caused him to shave off the seven locks of his head; and she began to afflict him, and his strength went from him.
Judges 16:20	And she said, The Philistines [be] upon thee, Samson. And he awoke out of his sleep, and said, I will go out as at other times before, and shake myself. And he wist not that the LORD was departed from him.
Judges 16:21	But the Philistines took him, and put out his eyes, and brought him down to Gaza, and bound him with fetters of brass; and he did grind in the prison house.
Judges 16:22	Howbeit the hair of his head began to grow again after he was shaven.
Judges 16:23	Then the lords of the Philistines gathered them together for to offer a great sacrifice unto Dagon their god, and to rejoice: for they said, Our god hath delivered Samson our enemy into our hand.
Judges 16:24	And when the people saw him, they praised their god: for they said, Our god hath delivered into our hands our enemy, and the destroyer of our country, which slew many of us.
Judges 16:25	And it came to pass, when their hearts were merry, that they said, Call for Samson, that he may make us sport. And they called for Samson out of the prison house; and he made them sport: and they set him between the pillars.
Judges 16:26	And Samson said unto the lad that held him by the hand, Suffer me that I may feel the pillars whereupon the house standeth, that I may lean upon them.
Judges 16:27	Now the house was full of men and women; and all the lords of the Philistines [were] there; and [there were] upon the roof about three thousand men and women, that beheld while Samson made sport.
Judges 16:28	And Samson called unto the LORD, and said, O Lord GOD, remember me, I pray thee, and strengthen me, I pray thee, only this once, O God, that I may be at once avenged of the Philistines for my two eyes.
Judges 16:29	And Samson took hold of the two middle pillars upon which the house stood, and on which it was borne up, of the one with his right hand, and of the other with his left.
Judges 16:30	And Samson said, Let me die with the Philistines. And he bowed himself with [all his] might; and the house fell upon the lords, and upon all the people that [were] therein. So the dead which he slew at his death were more than [they] which he slew in his life.
Judges 16:31	Then his brethren and all the house of his father came down, and took him, and brought [him] up, and buried him between Zorah and Eshtaol in the buryingplace of Manoah his father. And he judged Israel twenty years.
Judges 17:1	And there was a man of mount Ephraim, whose name [was] Micah.
Judges 17:2	And he said unto his mother, The eleven hundred [shekels] of silver that were taken from thee, about which thou cursedst, and spakest of also in mine ears, behold, the silver [is] with me; I took it. And his mother said, Blessed [be thou] of the LORD, my son.
Judges 17:3	And when he had restored the eleven hundred [shekels] of silver to his mother, his mother said, I had wholly dedicated the silver unto the LORD from my hand for my son, to make a graven image and a molten image: now therefore I will restore it unto thee.
Judges 17:4	Yet he restored the money unto his mother; and his mother took two hundred [shekels] of silver, and gave them to the founder, who made thereof a graven image and a molten image: and they were in the house of Micah.
Judges 17:5	And the man Micah had an house of gods, and made an ephod, and teraphim, and consecrated one of his sons, who became his priest.
Judges 17:6	In those days [there was] no king in Israel, [but] every man did [that which was] right in his own eyes.
Judges 17:7	And there was a young man out of Bethlehemjudah of the family of Judah, who [was] a Levite, and he sojourned there.
Judges 17:8	And the man departed out of the city from Bethlehemjudah to sojourn where he could find [a place]: and he came to mount Ephraim to the house of Micah, as he journeyed.
Judges 17:9	And Micah said unto him, Whence comest thou? And he said unto him, I [am] a Levite of Bethlehemjudah, and I go to sojourn where I may find [a place].
Judges 17:10	And Micah said unto him, Dwell with me, and be unto me a father and a priest, and I will give thee ten [shekels] of silver by the year, and a suit of apparel, and thy victuals. So the Levite went in.
Judges 17:11	And the Levite was content to dwell with the man; and the young man was unto him as one of his sons.
Judges 17:12	And Micah consecrated the Levite; and the young man became his priest, and was in the house of Micah.
Judges 17:13	Then said Micah, Now know I that the LORD will do me good, seeing I have a Levite to [my] priest.
Judges 18:1	In those days [there was] no king in Israel: and in those days the tribe of the Danites sought them an inheritance to dwell in; for unto that day [all their] inheritance had not fallen unto them among the tribes of Israel.
Judges 18:2	And the children of Dan sent of their family five men from their coasts, men of valour, from Zorah, and from Eshtaol, to spy out the land, and to search it; and they said unto them, Go, search the land: who when they came to mount Ephraim, to the house of Micah, they lodged there.
Judges 18:3	When they [were] by the house of Micah, they knew the voice of the young man the Levite: and they turned in thither, and said unto him, Who brought thee hither? and what makest thou in this [place]? and what hast thou here?
Judges 18:4	And he said unto them, Thus and thus dealeth Micah with me, and hath hired me, and I am his priest.
Judges 18:5	And they said unto him, Ask counsel, we pray thee, of God, that we may know whether our way which we go shall be prosperous.
Judges 18:6	And the priest said unto them, Go in peace: before the LORD [is] your way wherein ye go.
Judges 18:7	Then the five men departed, and came to Laish, and saw the people that [were] therein, how they dwelt careless, after the manner of the Zidonians, quiet and secure; and [there was] no magistrate in the land, that might put [them] to shame in [any] thing; and they [were] far from the Zidonians, and had no business with [any] man.
Judges 18:8	And they came unto their brethren to Zorah and Eshtaol: and their brethren said unto them, What [say] ye?
Judges 18:9	And they said, Arise, that we may go up against them: for we have seen the land, and, behold, it [is] very good: and [are] ye still? be not slothful to go, [and] to enter to possess the land.
Judges 18:10	When ye go, ye shall come unto a people secure, and to a large land: for God hath given it into your hands; a place where [there is] no want of any thing that [is] in the earth.
Judges 18:11	And there went from thence of the family of the Danites, out of Zorah and out of Eshtaol, six hundred men appointed with weapons of war.
Judges 18:12	And they went up, and pitched in Kirjathjearim, in Judah: wherefore they called that place Mahanehdan unto this day: behold, [it is] behind Kirjathjearim.
Judges 18:13	And they passed thence unto mount Ephraim, and came unto the house of Micah.
Judges 18:14	Then answered the five men that went to spy out the country of Laish, and said unto their brethren, Do ye know that there is in these houses an ephod, and teraphim, and a graven image, and a molten image? now therefore consider what ye have to do.
Judges 18:15	And they turned thitherward, and came to the house of the young man the Levite, [even] unto the house of Micah, and saluted him.
Judges 18:16	And the six hundred men appointed with their weapons of war, which [were] of the children of Dan, stood by the entering of the gate.
Judges 18:17	And the five men that went to spy out the land went up, [and] came in thither, [and] took the graven image, and the ephod, and the teraphim, and the molten image: and the priest stood in the entering of the gate with the six hundred men [that were] appointed with weapons of war.
