Genesis 31:15	Are we not counted of him strangers? for he hath sold us, and hath quite devoured also our money.
Genesis 46:3	And he said, I [am] God, the God of thy father: fear not to go down into Egypt; for I will there make of thee a great nation:
Genesis 46:4	I will go down with thee into Egypt; and I will also surely bring thee up [again]: and Joseph shall put his hand upon thine eyes.
Genesis 46:5	And Jacob rose up from Beersheba: and the sons of Israel carried Jacob their father, and their little ones, and their wives, in the wagons which Pharaoh had sent to carry him.
Genesis 46:6	And they took their cattle, and their goods, which they had gotten in the land of Canaan, and came into Egypt, Jacob, and all his seed with him:
Genesis 46:7	His sons, and his sons’ sons with him, his daughters, and his sons’ daughters, and all his seed brought he with him into Egypt.
Genesis 46:8	And these [are] the names of the children of Israel, which came into Egypt, Jacob and his sons: Reuben, Jacob’s firstborn.
Genesis 46:9	And the sons of Reuben; Hanoch, and Phallu, and Hezron, and Carmi.
Genesis 46:10	And the sons of Simeon; Jemuel, and Jamin, and Ohad, and Jachin, and Zohar, and Shaul the son of a Canaanitish woman.
Genesis 46:11	And the sons of Levi; Gershon, Kohath, and Merari.
Genesis 46:12	And the sons of Judah; Er, and Onan, and Shelah, and Pharez, and Zerah: but Er and Onan died in the land of Canaan. And the sons of Pharez were Hezron and Hamul.
Genesis 46:13	And the sons of Issachar; Tola, and Phuvah, and Job, and Shimron.
Genesis 46:14	And the sons of Zebulun; Sered, and Elon, and Jahleel.
Genesis 46:15	These [be] the sons of Leah, which she bare unto Jacob in Padanaram, with his daughter Dinah: all the souls of his sons and his daughters [were] thirty and three.
Genesis 46:16	And the sons of Gad; Ziphion, and Haggi, Shuni, and Ezbon, Eri, and Arodi, and Areli.
Genesis 46:17	And the sons of Asher; Jimnah, and Ishuah, and Isui, and Beriah, and Serah their sister: and the sons of Beriah; Heber, and Malchiel.
Genesis 46:18	These [are] the sons of Zilpah, whom Laban gave to Leah his daughter, and these she bare unto Jacob, [even] sixteen souls.
Genesis 46:19	The sons of Rachel Jacob’s wife; Joseph, and Benjamin.
Genesis 46:20	And unto Joseph in the land of Egypt were born Manasseh and Ephraim, which Asenath the daughter of Potipherah priest of On bare unto him.
Genesis 46:21	And the sons of Benjamin [were] Belah, and Becher, and Ashbel, Gera, and Naaman, Ehi, and Rosh, Muppim, and Huppim, and Ard.
Genesis 46:22	These [are] the sons of Rachel, which were born to Jacob: all the souls [were] fourteen.
Genesis 46:23	And the sons of Dan; Hushim.
Genesis 46:24	And the sons of Naphtali; Jahzeel, and Guni, and Jezer, and Shillem.
Genesis 46:25	These [are] the sons of Bilhah, which Laban gave unto Rachel his daughter, and she bare these unto Jacob: all the souls [were] seven.
Genesis 46:26	All the souls that came with Jacob into Egypt, which came out of his loins, besides Jacob’s sons’ wives, all the souls [were] threescore and six;
Genesis 46:27	And the sons of Joseph, which were born him in Egypt, [were] two souls: all the souls of the house of Jacob, which came into Egypt, [were] threescore and ten.
Genesis 46:28	And he sent Judah before him unto Joseph, to direct his face unto Goshen; and they came into the land of Goshen.
Genesis 46:29	And Joseph made ready his chariot, and went up to meet Israel his father, to Goshen, and presented himself unto him; and he fell on his neck, and wept on his neck a good while.
Genesis 46:30	And Israel said unto Joseph, Now let me die, since I have seen thy face, because thou [art] yet alive.
Genesis 46:31	And Joseph said unto his brethren, and unto his father’s house, I will go up, and shew Pharaoh, and say unto him, My brethren, and my father’s house, which [were] in the land of Canaan, are come unto me;
Genesis 46:32	And the men [are] shepherds, for their trade hath been to feed cattle; and they have brought their flocks, and their herds, and all that they have.
Genesis 46:33	And it shall come to pass, when Pharaoh shall call you, and shall say, What [is] your occupation?
Genesis 46:34	That ye shall say, Thy servants’ trade hath been about cattle from our youth even until now, both we, [and] also our fathers: that ye may dwell in the land of Goshen; for every shepherd [is] an abomination unto the Egyptians.
Genesis 47:1	Then Joseph came and told Pharaoh, and said, My father and my brethren, and their flocks, and their herds, and all that they have, are come out of the land of Canaan; and, behold, they [are] in the land of Goshen.
Genesis 47:2	And he took some of his brethren, [even] five men, and presented them unto Pharaoh.
Genesis 47:3	And Pharaoh said unto his brethren, What [is] your occupation? And they said unto Pharaoh, Thy servants [are] shepherds, both we, [and] also our fathers.
Genesis 47:4	They said moreover unto Pharaoh, For to sojourn in the land are we come; for thy servants have no pasture for their flocks; for the famine [is] sore in the land of Canaan: now therefore, we pray thee, let thy servants dwell in the land of Goshen.
Genesis 47:5	And Pharaoh spake unto Joseph, saying, Thy father and thy brethren are come unto thee:
Genesis 47:6	The land of Egypt [is] before thee; in the best of the land make thy father and brethren to dwell; in the land of Goshen let them dwell: and if thou knowest [any] men of activity among them, then make them rulers over my cattle.
Genesis 47:7	And Joseph brought in Jacob his father, and set him before Pharaoh: and Jacob blessed Pharaoh.
Genesis 47:8	And Pharaoh said unto Jacob, How old [art] thou?
Genesis 47:9	And Jacob said unto Pharaoh, The days of the years of my pilgrimage [are] an hundred and thirty years: few and evil have the days of the years of my life been, and have not attained unto the days of the years of the life of my fathers in the days of their pilgrimage.
Genesis 47:10	And Jacob blessed Pharaoh, and went out from before Pharaoh.
Genesis 47:11	And Joseph placed his father and his brethren, and gave them a possession in the land of Egypt, in the best of the land, in the land of Rameses, as Pharaoh had commanded.
Genesis 47:12	And Joseph nourished his father, and his brethren, and all his father’s household, with bread, according to [their] families.
Genesis 47:13	And [there was] no bread in all the land; for the famine [was] very sore, so that the land of Egypt and [all] the land of Canaan fainted by reason of the famine.
Genesis 47:14	And Joseph gathered up all the money that was found in the land of Egypt, and in the land of Canaan, for the corn which they bought: and Joseph brought the money into Pharaoh’s house.
Genesis 47:15	And when money failed in the land of Egypt, and in the land of Canaan, all the Egyptians came unto Joseph, and said, Give us bread: for why should we die in thy presence? for the money faileth.
Genesis 47:16	And Joseph said, Give your cattle; and I will give you for your cattle, if money fail.
Genesis 47:17	And they brought their cattle unto Joseph: and Joseph gave them bread [in exchange] for horses, and for the flocks, and for the cattle of the herds, and for the asses: and he fed them with bread for all their cattle for that year.
Genesis 47:18	When that year was ended, they came unto him the second year, and said unto him, We will not hide [it] from my lord, how that our money is spent; my lord also hath our herds of cattle; there is not ought left in the sight of my lord, but our bodies, and our lands:
Genesis 47:19	Wherefore shall we die before thine eyes, both we and our land? buy us and our land for bread, and we and our land will be servants unto Pharaoh: and give [us] seed, that we may live, and not die, that the land be not desolate.
Genesis 47:20	And Joseph bought all the land of Egypt for Pharaoh; for the Egyptians sold every man his field, because the famine prevailed over them: so the land became Pharaoh’s.
Genesis 47:21	And as for the people, he removed them to cities from [one] end of the borders of Egypt even to the [other] end thereof.
Genesis 47:22	Only the land of the priests bought he not; for the priests had a portion [assigned them] of Pharaoh, and did eat their portion which Pharaoh gave them: wherefore they sold not their lands.
Genesis 47:23	Then Joseph said unto the people, Behold, I have bought you this day and your land for Pharaoh: lo, [here is] seed for you, and ye shall sow the land.
Genesis 47:24	And it shall come to pass in the increase, that ye shall give the fifth [part] unto Pharaoh, and four parts shall be your own, for seed of the field, and for your food, and for them of your households, and for food for your little ones.
Genesis 47:25	And they said, Thou hast saved our lives: let us find grace in the sight of my lord, and we will be Pharaoh’s servants.
Genesis 47:26	And Joseph made it a law over the land of Egypt unto this day, [that] Pharaoh should have the fifth [part]; except the land of the priests only, [which] became not Pharaoh’s.
Genesis 47:27	And Israel dwelt in the land of Egypt, in the country of Goshen; and they had possessions therein, and grew, and multiplied exceedingly.
Genesis 47:28	And Jacob lived in the land of Egypt seventeen years: so the whole age of Jacob was an hundred forty and seven years.
Genesis 47:29	And the time drew nigh that Israel must die: and he called his son Joseph, and said unto him, If now I have found grace in thy sight, put, I pray thee, thy hand under my thigh, and deal kindly and truly with me; bury me not, I pray thee, in Egypt:
Genesis 47:30	But I will lie with my fathers, and thou shalt carry me out of Egypt, and bury me in their buryingplace. And he said, I will do as thou hast said.
Genesis 47:31	And he said, Swear unto me. And he sware unto him. And Israel bowed himself upon the bed’s head.
Genesis 48:1	And it came to pass after these things, that [one] told Joseph, Behold, thy father [is] sick: and he took with him his two sons, Manasseh and Ephraim.
Genesis 48:2	And [one] told Jacob, and said, Behold, thy son Joseph cometh unto thee: and Israel strengthened himself, and sat upon the bed.
Genesis 48:3	And Jacob said unto Joseph, God Almighty appeared unto me at Luz in the land of Canaan, and blessed me,
Genesis 48:4	And said unto me, Behold, I will make thee fruitful, and multiply thee, and I will make of thee a multitude of people; and will give this land to thy seed after thee [for] an everlasting possession.
Genesis 48:5	And now thy two sons, Ephraim and Manasseh, which were born unto thee in the land of Egypt before I came unto thee into Egypt, [are] mine; as Reuben and Simeon, they shall be mine.
Genesis 48:6	And thy issue, which thou begettest after them, shall be thine, [and] shall be called after the name of their brethren in their inheritance.
Genesis 48:7	And as for me, when I came from Padan, Rachel died by me in the land of Canaan in the way, when yet [there was] but a little way to come unto Ephrath: and I buried her there in the way of Ephrath; the same [is] Bethlehem.
Genesis 48:8	And Israel beheld Joseph’s sons, and said, Who [are] these?
Genesis 48:9	And Joseph said unto his father, They [are] my sons, whom God hath given me in this [place]. And he said, Bring them, I pray thee, unto me, and I will bless them.
Genesis 48:10	Now the eyes of Israel were dim for age, [so that] he could not see. And he brought them near unto him; and he kissed them, and embraced them.
Genesis 48:11	And Israel said unto Joseph, I had not thought to see thy face: and, lo, God hath shewed me also thy seed.
Genesis 48:12	And Joseph brought them out from between his knees, and he bowed himself with his face to the earth.
Genesis 48:13	And Joseph took them both, Ephraim in his right hand toward Israel’s left hand, and Manasseh in his left hand toward Israel’s right hand, and brought [them] near unto him.
Genesis 48:14	And Israel stretched out his right hand, and laid [it] upon Ephraim’s head, who [was] the younger, and his left hand upon Manasseh’s head, guiding his hands wittingly; for Manasseh [was] the firstborn.
Genesis 48:15	And he blessed Joseph, and said, God, before whom my fathers Abraham and Isaac did walk, the God which fed me all my life long unto this day,
Genesis 48:16	The Angel which redeemed me from all evil, bless the lads; and let my name be named on them, and the name of my fathers Abraham and Isaac; and let them grow into a multitude in the midst of the earth.
Genesis 48:17	And when Joseph saw that his father laid his right hand upon the head of Ephraim, it displeased him: and he held up his father’s hand, to remove it from Ephraim’s head unto Manasseh’s head.
Genesis 48:18	And Joseph said unto his father, Not so, my father: for this [is] the firstborn; put thy right hand upon his head.
Genesis 48:19	And his father refused, and said, I know [it], my son, I know [it]: he also shall become a people, and he also shall be great: but truly his younger brother shall be greater than he, and his seed shall become a multitude of nations.
Genesis 48:20	And he blessed them that day, saying, In thee shall Israel bless, saying, God make thee as Ephraim and as Manasseh: and he set Ephraim before Manasseh.
Genesis 48:21	And Israel said unto Joseph, Behold, I die: but God shall be with you, and bring you again unto the land of your fathers.
Genesis 48:22	Moreover I have given to thee one portion above thy brethren, which I took out of the hand of the Amorite with my sword and with my bow.
Genesis 49:1	And Jacob called unto his sons, and said, Gather yourselves together, that I may tell you [that] which shall befall you in the last days.
Genesis 49:2	Gather yourselves together, and hear, ye sons of Jacob; and hearken unto Israel your father.
Genesis 49:3	Reuben, thou [art] my firstborn, my might, and the beginning of my strength, the excellency of dignity, and the excellency of power:
Genesis 49:4	Unstable as water, thou shalt not excel; because thou wentest up to thy father’s bed; then defiledst thou [it]: he went up to my couch.
Genesis 49:5	Simeon and Levi [are] brethren; instruments of cruelty [are in] their habitations.
Genesis 49:6	O my soul, come not thou into their secret; unto their assembly, mine honour, be not thou united: for in their anger they slew a man, and in their selfwill they digged down a wall.
Genesis 49:7	Cursed [be] their anger, for [it was] fierce; and their wrath, for it was cruel: I will divide them in Jacob, and scatter them in Israel.
Genesis 49:8	Judah, thou [art he] whom thy brethren shall praise: thy hand [shall be] in the neck of thine enemies; thy father’s children shall bow down before thee.
Genesis 49:9	Judah [is] a lion’s whelp: from the prey, my son, thou art gone up: he stooped down, he couched as a lion, and as an old lion; who shall rouse him up?
Genesis 49:10	The sceptre shall not depart from Judah, nor a lawgiver from between his feet, until Shiloh come; and unto him [shall] the gathering of the people [be].
Genesis 49:11	Binding his foal unto the vine, and his ass’s colt unto the choice vine; he washed his garments in wine, and his clothes in the blood of grapes:
Genesis 49:12	His eyes [shall be] red with wine, and his teeth white with milk.
Genesis 49:13	Zebulun shall dwell at the haven of the sea; and he [shall be] for an haven of ships; and his border [shall be] unto Zidon.
Genesis 49:14	Issachar [is] a strong ass couching down between two burdens:
Genesis 49:15	And he saw that rest [was] good, and the land that [it was] pleasant; and bowed his shoulder to bear, and became a servant unto tribute.
Genesis 49:16	Dan shall judge his people, as one of the tribes of Israel.
Genesis 49:17	Dan shall be a serpent by the way, an adder in the path, that biteth the horse heels, so that his rider shall fall backward.
Genesis 49:18	I have waited for thy salvation, O LORD.
Genesis 49:19	Gad, a troop shall overcome him: but he shall overcome at the last.
Genesis 49:20	Out of Asher his bread [shall be] fat, and he shall yield royal dainties.
Genesis 49:21	Naphtali [is] a hind let loose: he giveth goodly words.
Genesis 49:22	Joseph [is] a fruitful bough, [even] a fruitful bough by a well; [whose] branches run over the wall:
Genesis 49:23	The archers have sorely grieved him, and shot [at him], and hated him:
Genesis 49:24	But his bow abode in strength, and the arms of his hands were made strong by the hands of the mighty [God] of Jacob; (from thence [is] the shepherd, the stone of Israel:)
Genesis 49:25	[Even] by the God of thy father, who shall help thee; and by the Almighty, who shall bless thee with blessings of heaven above, blessings of the deep that lieth under, blessings of the breasts, and of the womb:
Genesis 49:26	The blessings of thy father have prevailed above the blessings of my progenitors unto the utmost bound of the everlasting hills: they shall be on the head of Joseph, and on the crown of the head of him that was separate from his brethren.
Genesis 49:27	Benjamin shall ravin [as] a wolf: in the morning he shall devour the prey, and at night he shall divide the spoil.
Genesis 49:28	All these [are] the twelve tribes of Israel: and this [is it] that their father spake unto them, and blessed them; every one according to his blessing he blessed them.
Genesis 49:29	And he charged them, and said unto them, I am to be gathered unto my people: bury me with my fathers in the cave that [is] in the field of Ephron the Hittite,
Genesis 49:30	In the cave that [is] in the field of Machpelah, which [is] before Mamre, in the land of Canaan, which Abraham bought with the field of Ephron the Hittite for a possession of a buryingplace.
Genesis 49:31	There they buried Abraham and Sarah his wife; there they buried Isaac and Rebekah his wife; and there I buried Leah.
Genesis 49:32	The purchase of the field and of the cave that [is] therein [was] from the children of Heth.
Genesis 49:33	And when Jacob had made an end of commanding his sons, he gathered up his feet into the bed, and yielded up the ghost, and was gathered unto his people.
Genesis 50:1	And Joseph fell upon his father’s face, and wept upon him, and kissed him.
Genesis 50:2	And Joseph commanded his servants the physicians to embalm his father: and the physicians embalmed Israel.
Genesis 50:3	And forty days were fulfilled for him; for so are fulfilled the days of those which are embalmed: and the Egyptians mourned for him threescore and ten days.
Genesis 50:4	And when the days of his mourning were past, Joseph spake unto the house of Pharaoh, saying, If now I have found grace in your eyes, speak, I pray you, in the ears of Pharaoh, saying,
Genesis 50:5	My father made me swear, saying, Lo, I die: in my grave which I have digged for me in the land of Canaan, there shalt thou bury me. Now therefore let me go up, I pray thee, and bury my father, and I will come again.
Genesis 50:6	And Pharaoh said, Go up, and bury thy father, according as he made thee swear.
Genesis 50:7	And Joseph went up to bury his father: and with him went up all the servants of Pharaoh, the elders of his house, and all the elders of the land of Egypt,
Genesis 50:8	And all the house of Joseph, and his brethren, and his father’s house: only their little ones, and their flocks, and their herds, they left in the land of Goshen.
Genesis 50:9	And there went up with him both chariots and horsemen: and it was a very great company.
Genesis 50:10	And they came to the threshingfloor of Atad, which [is] beyond Jordan, and there they mourned with a great and very sore lamentation: and he made a mourning for his father seven days.
Genesis 50:11	And when the inhabitants of the land, the Canaanites, saw the mourning in the floor of Atad, they said, This [is] a grievous mourning to the Egyptians: wherefore the name of it was called Abelmizraim, which [is] beyond Jordan.
Genesis 50:12	And his sons did unto him according as he commanded them:
Genesis 50:13	For his sons carried him into the land of Canaan, and buried him in the cave of the field of Machpelah, which Abraham bought with the field for a possession of a buryingplace of Ephron the Hittite, before Mamre.
Genesis 50:14	And Joseph returned into Egypt, he, and his brethren, and all that went up with him to bury his father, after he had buried his father.
Genesis 50:15	And when Joseph’s brethren saw that their father was dead, they said, Joseph will peradventure hate us, and will certainly requite us all the evil which we did unto him.
Genesis 50:16	And they sent a messenger unto Joseph, saying, Thy father did command before he died, saying,
Genesis 50:17	So shall ye say unto Joseph, Forgive, I pray thee now, the trespass of thy brethren, and their sin; for they did unto thee evil: and now, we pray thee, forgive the trespass of the servants of the God of thy father. And Joseph wept when they spake unto him.
Genesis 50:18	And his brethren also went and fell down before his face; and they said, Behold, we [be] thy servants.
Genesis 50:19	And Joseph said unto them, Fear not: for [am] I in the place of God?
Genesis 50:20	But as for you, ye thought evil against me; [but] God meant it unto good, to bring to pass, as [it is] this day, to save much people alive.
Genesis 50:21	Now therefore fear ye not: I will nourish you, and your little ones. And he comforted them, and spake kindly unto them.
Genesis 50:22	And Joseph dwelt in Egypt, he, and his father’s house: and Joseph lived an hundred and ten years.
Genesis 50:23	And Joseph saw Ephraim’s children of the third [generation]: the children also of Machir the son of Manasseh were brought up upon Joseph’s knees.
Genesis 50:24	And Joseph said unto his brethren, I die: and God will surely visit you, and bring you out of this land unto the land which he sware to Abraham, to Isaac, and to Jacob.
Genesis 50:25	And Joseph took an oath of the children of Israel, saying, God will surely visit you, and ye shall carry up my bones from hence.
Genesis 50:26	So Joseph died, [being] an hundred and ten years old: and they embalmed him, and he was put in a coffin in Egypt.
Exodus 1:1	Now these [are] the names of the children of Israel, which came into Egypt; every man and his household came with Jacob.
Exodus 1:2	Reuben, Simeon, Levi, and Judah,
Exodus 1:3	Issachar, Zebulun, and Benjamin,
Exodus 1:4	Dan, and Naphtali, Gad, and Asher.
Exodus 1:5	And all the souls that came out of the loins of Jacob were seventy souls: for Joseph was in Egypt [already].
Exodus 1:6	And Joseph died, and all his brethren, and all that generation.
Exodus 1:7	And the children of Israel were fruitful, and increased abundantly, and multiplied, and waxed exceeding mighty; and the land was filled with them.
Exodus 1:8	Now there arose up a new king over Egypt, which knew not Joseph.
Exodus 1:9	And he said unto his people, Behold, the people of the children of Israel [are] more and mightier than we:
Exodus 1:10	Come on, let us deal wisely with them; lest they multiply, and it come to pass, that, when there falleth out any war, they join also unto our enemies, and fight against us, and [so] get them up out of the land.
Exodus 1:11	Therefore they did set over them taskmasters to afflict them with their burdens. And they built for Pharaoh treasure cities, Pithom and Raamses.
Exodus 1:12	But the more they afflicted them, the more they multiplied and grew. And they were grieved because of the children of Israel.
Exodus 1:13	And the Egyptians made the children of Israel to serve with rigour:
Exodus 1:14	And they made their lives bitter with hard bondage, in morter, and in brick, and in all manner of service in the field: all their service, wherein they made them serve, [was] with rigour.
Exodus 1:15	And the king of Egypt spake to the Hebrew midwives, of which the name of the one [was] Shiphrah, and the name of the other Puah:
Exodus 1:16	And he said, When ye do the office of a midwife to the Hebrew women, and see [them] upon the stools; if it [be] a son, then ye shall kill him: but if it [be] a daughter, then she shall live.
Exodus 1:17	But the midwives feared God, and did not as the king of Egypt commanded them, but saved the men children alive.
Exodus 1:18	And the king of Egypt called for the midwives, and said unto them, Why have ye done this thing, and have saved the men children alive?
Exodus 1:19	And the midwives said unto Pharaoh, Because the Hebrew women [are] not as the Egyptian women; for they [are] lively, and are delivered ere the midwives come in unto them.
Exodus 1:20	Therefore God dealt well with the midwives: and the people multiplied, and waxed very mighty.
Exodus 1:21	And it came to pass, because the midwives feared God, that he made them houses.
Exodus 1:22	And Pharaoh charged all his people, saying, Every son that is born ye shall cast into the river, and every daughter ye shall save alive.
Exodus 2:1	And there went a man of the house of Levi, and took [to wife] a daughter of Levi.
Exodus 2:2	And the woman conceived, and bare a son: and when she saw him that he [was a] goodly [child], she hid him three months.
Exodus 2:3	And when she could not longer hide him, she took for him an ark of bulrushes, and daubed it with slime and with pitch, and put the child therein; and she laid [it] in the flags by the river’s brink.
Exodus 2:4	And his sister stood afar off, to wit what would be done to him.
Exodus 2:5	And the daughter of Pharaoh came down to wash [herself] at the river; and her maidens walked along by the river’s side; and when she saw the ark among the flags, she sent her maid to fetch it.
Exodus 2:6	And when she had opened [it], she saw the child: and, behold, the babe wept. And she had compassion on him, and said, This [is one] of the Hebrews’ children.
Exodus 2:7	Then said his sister to Pharaoh’s daughter, Shall I go and call to thee a nurse of the Hebrew women, that she may nurse the child for thee?
Exodus 2:8	And Pharaoh’s daughter said to her, Go. And the maid went and called the child’s mother.
Exodus 2:9	And Pharaoh’s daughter said unto her, Take this child away, and nurse it for me, and I will give [thee] thy wages. And the woman took the child, and nursed it.
Exodus 2:10	And the child grew, and she brought him unto Pharaoh’s daughter, and he became her son. And she called his name Moses: and she said, Because I drew him out of the water.
Exodus 2:11	And it came to pass in those days, when Moses was grown, that he went out unto his brethren, and looked on their burdens: and he spied an Egyptian smiting an Hebrew, one of his brethren.
Exodus 2:12	And he looked this way and that way, and when he saw that [there was] no man, he slew the Egyptian, and hid him in the sand.
Exodus 2:13	And when he went out the second day, behold, two men of the Hebrews strove together: and he said to him that did the wrong, Wherefore smitest thou thy fellow?
Exodus 2:14	And he said, Who made thee a prince and a judge over us? intendest thou to kill me, as thou killedst the Egyptian? And Moses feared, and said, Surely this thing is known.
Exodus 2:15	Now when Pharaoh heard this thing, he sought to slay Moses. But Moses fled from the face of Pharaoh, and dwelt in the land of Midian: and he sat down by a well.
Exodus 2:16	Now the priest of Midian had seven daughters: and they came and drew [water], and filled the troughs to water their father’s flock.
Exodus 2:17	And the shepherds came and drove them away: but Moses stood up and helped them, and watered their flock.
Exodus 2:18	And when they came to Reuel their father, he said, How [is it that] ye are come so soon to day?
Exodus 2:19	And they said, An Egyptian delivered us out of the hand of the shepherds, and also drew [water] enough for us, and watered the flock.
Exodus 2:20	And he said unto his daughters, And where [is] he? why [is] it [that] ye have left the man? call him, that he may eat bread.
Exodus 2:21	And Moses was content to dwell with the man: and he gave Moses Zipporah his daughter.
Exodus 2:22	And she bare [him] a son, and he called his name Gershom: for he said, I have been a stranger in a strange land.
Exodus 2:23	And it came to pass in process of time, that the king of Egypt died: and the children of Israel sighed by reason of the bondage, and they cried, and their cry came up unto God by reason of the bondage.
Exodus 2:24	And God heard their groaning, and God remembered his covenant with Abraham, with Isaac, and with Jacob.
Exodus 2:25	And God looked upon the children of Israel, and God had respect unto [them].
Exodus 3:1	Now Moses kept the flock of Jethro his father in law, the priest of Midian: and he led the flock to the backside of the desert, and came to the mountain of God, [even] to Horeb.
Exodus 3:2	And the angel of the LORD appeared unto him in a flame of fire out of the midst of a bush: and he looked, and, behold, the bush burned with fire, and the bush [was] not consumed.
Exodus 3:3	And Moses said, I will now turn aside, and see this great sight, why the bush is not burnt.
Exodus 3:4	And when the LORD saw that he turned aside to see, God called unto him out of the midst of the bush, and said, Moses, Moses. And he said, Here [am] I.
Exodus 3:5	And he said, Draw not nigh hither: put off thy shoes from off thy feet, for the place whereon thou standest [is] holy ground.
Exodus 3:6	Moreover he said, I [am] the God of thy father, the God of Abraham, the God of Isaac, and the God of Jacob. And Moses hid his face; for he was afraid to look upon God.
Exodus 3:7	And the LORD said, I have surely seen the affliction of my people which [are] in Egypt, and have heard their cry by reason of their taskmasters; for I know their sorrows;
Exodus 3:8	And I am come down to deliver them out of the hand of the Egyptians, and to bring them up out of that land unto a good land and a large, unto a land flowing with milk and honey; unto the place of the Canaanites, and the Hittites, and the Amorites, and the Perizzites, and the Hivites, and the Jebusites.
Exodus 3:9	Now therefore, behold, the cry of the children of Israel is come unto me: and I have also seen the oppression wherewith the Egyptians oppress them.
Exodus 3:10	Come now therefore, and I will send thee unto Pharaoh, that thou mayest bring forth my people the children of Israel out of Egypt.
Exodus 3:11	And Moses said unto God, Who [am] I, that I should go unto Pharaoh, and that I should bring forth the children of Israel out of Egypt?
Exodus 3:12	And he said, Certainly I will be with thee; and this [shall be] a token unto thee, that I have sent thee: When thou hast brought forth the people out of Egypt, ye shall serve God upon this mountain.
Exodus 3:13	And Moses said unto God, Behold, [when] I come unto the children of Israel, and shall say unto them, The God of your fathers hath sent me unto you; and they shall say to me, What [is] his name? what shall I say unto them?
Exodus 3:14	And God said unto Moses, I AM THAT I AM: and he said, Thus shalt thou say unto the children of Israel, I AM hath sent me unto you.
Exodus 3:15	And God said moreover unto Moses, Thus shalt thou say unto the children of Israel, The LORD God of your fathers, the God of Abraham, the God of Isaac, and the God of Jacob, hath sent me unto you: this [is] my name for ever, and this [is] my memorial unto all generations.
Exodus 3:16	Go, and gather the elders of Israel together, and say unto them, The LORD God of your fathers, the God of Abraham, of Isaac, and of Jacob, appeared unto me, saying, I have surely visited you, and [seen] that which is done to you in Egypt:
Exodus 3:17	And I have said, I will bring you up out of the affliction of Egypt unto the land of the Canaanites, and the Hittites, and the Amorites, and the Perizzites, and the Hivites, and the Jebusites, unto a land flowing with milk and honey.
Exodus 3:18	And they shall hearken to thy voice: and thou shalt come, thou and the elders of Israel, unto the king of Egypt, and ye shall say unto him, The LORD God of the Hebrews hath met with us: and now let us go, we beseech thee, three days’ journey into the wilderness, that we may sacrifice to the LORD our God.
Exodus 3:19	And I am sure that the king of Egypt will not let you go, no, not by a mighty hand.
Exodus 3:20	And I will stretch out my hand, and smite Egypt with all my wonders which I will do in the midst thereof: and after that he will let you go.
Exodus 3:21	And I will give this people favour in the sight of the Egyptians: and it shall come to pass, that, when ye go, ye shall not go empty:
Exodus 3:22	But every woman shall borrow of her neighbour, and of her that sojourneth in her house, jewels of silver, and jewels of gold, and raiment: and ye shall put [them] upon your sons, and upon your daughters; and ye shall spoil the Egyptians.
Exodus 4:1	And Moses answered and said, But, behold, they will not believe me, nor hearken unto my voice: for they will say, The LORD hath not appeared unto thee.
Exodus 4:2	And the LORD said unto him, What [is] that in thine hand? And he said, A rod.
Exodus 4:3	And he said, Cast it on the ground. And he cast it on the ground, and it became a serpent; and Moses fled from before it.
Exodus 4:4	And the LORD said unto Moses, Put forth thine hand, and take it by the tail. And he put forth his hand, and caught it, and it became a rod in his hand:
Exodus 4:5	That they may believe that the LORD God of their fathers, the God of Abraham, the God of Isaac, and the God of Jacob, hath appeared unto thee.
Exodus 4:6	And the LORD said furthermore unto him, Put now thine hand into thy bosom. And he put his hand into his bosom: and when he took it out, behold, his hand [was] leprous as snow.
Exodus 4:7	And he said, Put thine hand into thy bosom again. And he put his hand into his bosom again; and plucked it out of his bosom, and, behold, it was turned again as his [other] flesh.
Exodus 4:8	And it shall come to pass, if they will not believe thee, neither hearken to the voice of the first sign, that they will believe the voice of the latter sign.
Exodus 4:9	And it shall come to pass, if they will not believe also these two signs, neither hearken unto thy voice, that thou shalt take of the water of the river, and pour [it] upon the dry [land]: and the water which thou takest out of the river shall become blood upon the dry [land].
Exodus 4:10	And Moses said unto the LORD, O my Lord, I [am] not eloquent, neither heretofore, nor since thou hast spoken unto thy servant: but I [am] slow of speech, and of a slow tongue.
Exodus 4:11	And the LORD said unto him, Who hath made man’s mouth? or who maketh the dumb, or deaf, or the seeing, or the blind? have not I the LORD?
Exodus 4:12	Now therefore go, and I will be with thy mouth, and teach thee what thou shalt say.
Exodus 4:13	And he said, O my Lord, send, I pray thee, by the hand [of him whom] thou wilt send.
Exodus 4:14	And the anger of the LORD was kindled against Moses, and he said, [Is] not Aaron the Levite thy brother? I know that he can speak well. And also, behold, he cometh forth to meet thee: and when he seeth thee, he will be glad in his heart.
Exodus 4:15	And thou shalt speak unto him, and put words in his mouth: and I will be with thy mouth, and with his mouth, and will teach you what ye shall do.
Exodus 4:16	And he shall be thy spokesman unto the people: and he shall be, [even] he shall be to thee instead of a mouth, and thou shalt be to him instead of God.
Exodus 4:17	And thou shalt take this rod in thine hand, wherewith thou shalt do signs.
Exodus 4:18	And Moses went and returned to Jethro his father in law, and said unto him, Let me go, I pray thee, and return unto my brethren which [are] in Egypt, and see whether they be yet alive. And Jethro said to Moses, Go in peace.
Exodus 4:19	And the LORD said unto Moses in Midian, Go, return into Egypt: for all the men are dead which sought thy life.
