Zechariah 7:8	And the word of the LORD came unto Zechariah, saying,
Matthew 18:17	And if he shall neglect to hear them, tell [it] unto the church: but if he neglect to hear the church, let him be unto thee as an heathen man and a publican.
Matthew 18:18	Verily I say unto you, Whatsoever ye shall bind on earth shall be bound in heaven: and whatsoever ye shall loose on earth shall be loosed in heaven.
Matthew 18:19	Again I say unto you, That if two of you shall agree on earth as touching any thing that they shall ask, it shall be done for them of my Father which is in heaven.
Matthew 18:20	For where two or three are gathered together in my name, there am I in the midst of them.
Matthew 18:21	Then came Peter to him, and said, Lord, how oft shall my brother sin against me, and I forgive him? till seven times?
Matthew 18:22	Jesus saith unto him, I say not unto thee, Until seven times: but, Until seventy times seven.
Matthew 18:23	Therefore is the kingdom of heaven likened unto a certain king, which would take account of his servants.
Matthew 18:24	And when he had begun to reckon, one was brought unto him, which owed him ten thousand talents.
Matthew 18:25	But forasmuch as he had not to pay, his lord commanded him to be sold, and his wife, and children, and all that he had, and payment to be made.
Matthew 18:26	The servant therefore fell down, and worshipped him, saying, Lord, have patience with me, and I will pay thee all.
Matthew 18:27	Then the lord of that servant was moved with compassion, and loosed him, and forgave him the debt.
Matthew 18:28	But the same servant went out, and found one of his fellowservants, which owed him an hundred pence: and he laid hands on him, and took [him] by the throat, saying, Pay me that thou owest.
Matthew 18:29	And his fellowservant fell down at his feet, and besought him, saying, Have patience with me, and I will pay thee all.
Matthew 18:30	And he would not: but went and cast him into prison, till he should pay the debt.
Matthew 18:31	So when his fellowservants saw what was done, they were very sorry, and came and told unto their lord all that was done.
Matthew 18:32	Then his lord, after that he had called him, said unto him, O thou wicked servant, I forgave thee all that debt, because thou desiredst me:
Matthew 18:33	Shouldest not thou also have had compassion on thy fellowservant, even as I had pity on thee?
Matthew 18:34	And his lord was wroth, and delivered him to the tormentors, till he should pay all that was due unto him.
Matthew 18:35	So likewise shall my heavenly Father do also unto you, if ye from your hearts forgive not every one his brother their trespasses.
Matthew 19:1	And it came to pass, [that] when Jesus had finished these sayings, he departed from Galilee, and came into the coasts of Judaea beyond Jordan;
Matthew 19:2	And great multitudes followed him; and he healed them there.
Matthew 19:3	The Pharisees also came unto him, tempting him, and saying unto him, Is it lawful for a man to put away his wife for every cause?
Matthew 19:4	And he answered and said unto them, Have ye not read, that he which made [them] at the beginning made them male and female,
Matthew 19:5	And said, For this cause shall a man leave father and mother, and shall cleave to his wife: and they twain shall be one flesh?
Matthew 19:6	Wherefore they are no more twain, but one flesh. What therefore God hath joined together, let not man put asunder.
Matthew 19:7	They say unto him, Why did Moses then command to give a writing of divorcement, and to put her away?
Matthew 19:8	He saith unto them, Moses because of the hardness of your hearts suffered you to put away your wives: but from the beginning it was not so.
Matthew 19:9	And I say unto you, Whosoever shall put away his wife, except [it be] for fornication, and shall marry another, committeth adultery: and whoso marrieth her which is put away doth commit adultery.
Matthew 19:10	His disciples say unto him, If the case of the man be so with [his] wife, it is not good to marry.
Matthew 19:11	But he said unto them, All [men] cannot receive this saying, save [they] to whom it is given.
Matthew 19:12	For there are some eunuchs, which were so born from [their] mother’s womb: and there are some eunuchs, which were made eunuchs of men: and there be eunuchs, which have made themselves eunuchs for the kingdom of heaven’s sake. He that is able to receive [it], let him receive [it].
Matthew 19:13	Then were there brought unto him little children, that he should put [his] hands on them, and pray: and the disciples rebuked them.
Matthew 19:14	But Jesus said, Suffer little children, and forbid them not, to come unto me: for of such is the kingdom of heaven.
Matthew 19:15	And he laid [his] hands on them, and departed thence.
Matthew 19:16	And, behold, one came and said unto him, Good Master, what good thing shall I do, that I may have eternal life?
Matthew 19:17	And he said unto him, Why callest thou me good? [there is] none good but one, [that is], God: but if thou wilt enter into life, keep the commandments.
Matthew 19:18	He saith unto him, Which? Jesus said, Thou shalt do no murder, Thou shalt not commit adultery, Thou shalt not steal, Thou shalt not bear false witness,
Matthew 19:19	Honour thy father and [thy] mother: and, Thou shalt love thy neighbour as thyself.
Matthew 19:20	The young man saith unto him, All these things have I kept from my youth up: what lack I yet?
Matthew 19:21	Jesus said unto him, If thou wilt be perfect, go [and] sell that thou hast, and give to the poor, and thou shalt have treasure in heaven: and come [and] follow me.
Matthew 19:22	But when the young man heard that saying, he went away sorrowful: for he had great possessions.
Matthew 19:23	Then said Jesus unto his disciples, Verily I say unto you, That a rich man shall hardly enter into the kingdom of heaven.
Matthew 19:24	And again I say unto you, It is easier for a camel to go through the eye of a needle, than for a rich man to enter into the kingdom of God.
Matthew 19:25	When his disciples heard [it], they were exceedingly amazed, saying, Who then can be saved?
Matthew 19:26	But Jesus beheld [them], and said unto them, With men this is impossible; but with God all things are possible.
Matthew 19:27	Then answered Peter and said unto him, Behold, we have forsaken all, and followed thee; what shall we have therefore?
Matthew 19:28	And Jesus said unto them, Verily I say unto you, That ye which have followed me, in the regeneration when the Son of man shall sit in the throne of his glory, ye also shall sit upon twelve thrones, judging the twelve tribes of Israel.
Matthew 19:29	And every one that hath forsaken houses, or brethren, or sisters, or father, or mother, or wife, or children, or lands, for my name’s sake, shall receive an hundredfold, and shall inherit everlasting life.
Matthew 19:30	But many [that are] first shall be last; and the last [shall be] first.
Matthew 20:1	For the kingdom of heaven is like unto a man [that is] an householder, which went out early in the morning to hire labourers into his vineyard.
Matthew 20:2	And when he had agreed with the labourers for a penny a day, he sent them into his vineyard.
Matthew 20:3	And he went out about the third hour, and saw others standing idle in the marketplace,
Matthew 20:4	And said unto them; Go ye also into the vineyard, and whatsoever is right I will give you. And they went their way.
Matthew 20:5	Again he went out about the sixth and ninth hour, and did likewise.
Matthew 20:6	And about the eleventh hour he went out, and found others standing idle, and saith unto them, Why stand ye here all the day idle?
Matthew 20:7	They say unto him, Because no man hath hired us. He saith unto them, Go ye also into the vineyard; and whatsoever is right, [that] shall ye receive.
Matthew 20:8	So when even was come, the lord of the vineyard saith unto his steward, Call the labourers, and give them [their] hire, beginning from the last unto the first.
Matthew 20:9	And when they came that [were hired] about the eleventh hour, they received every man a penny.
Matthew 20:10	But when the first came, they supposed that they should have received more; and they likewise received every man a penny.
Matthew 20:11	And when they had received [it], they murmured against the goodman of the house,
Matthew 20:12	Saying, These last have wrought [but] one hour, and thou hast made them equal unto us, which have borne the burden and heat of the day.
Matthew 20:13	But he answered one of them, and said, Friend, I do thee no wrong: didst not thou agree with me for a penny?
Matthew 20:14	Take [that] thine [is], and go thy way: I will give unto this last, even as unto thee.
Matthew 20:15	Is it not lawful for me to do what I will with mine own? Is thine eye evil, because I am good?
Matthew 20:16	So the last shall be first, and the first last: for many be called, but few chosen.
Matthew 20:17	And Jesus going up to Jerusalem took the twelve disciples apart in the way, and said unto them,
Matthew 20:18	Behold, we go up to Jerusalem; and the Son of man shall be betrayed unto the chief priests and unto the scribes, and they shall condemn him to death,
Matthew 20:19	And shall deliver him to the Gentiles to mock, and to scourge, and to crucify [him]: and the third day he shall rise again.
Matthew 20:20	Then came to him the mother of Zebedee’s children with her sons, worshipping [him], and desiring a certain thing of him.
Matthew 20:21	And he said unto her, What wilt thou? She saith unto him, Grant that these my two sons may sit, the one on thy right hand, and the other on the left, in thy kingdom.
Matthew 20:22	But Jesus answered and said, Ye know not what ye ask. Are ye able to drink of the cup that I shall drink of, and to be baptized with the baptism that I am baptized with? They say unto him, We are able.
Matthew 20:23	And he saith unto them, Ye shall drink indeed of my cup, and be baptized with the baptism that I am baptized with: but to sit on my right hand, and on my left, is not mine to give, but [it shall be given to them] for whom it is prepared of my Father.
Matthew 20:24	And when the ten heard [it], they were moved with indignation against the two brethren.
Matthew 20:25	But Jesus called them [unto him], and said, Ye know that the princes of the Gentiles exercise dominion over them, and they that are great exercise authority upon them.
Matthew 20:26	But it shall not be so among you: but whosoever will be great among you, let him be your minister;
Matthew 20:27	And whosoever will be chief among you, let him be your servant:
Matthew 20:28	Even as the Son of man came not to be ministered unto, but to minister, and to give his life a ransom for many.
Matthew 20:29	And as they departed from Jericho, a great multitude followed him.
Matthew 20:30	And, behold, two blind men sitting by the way side, when they heard that Jesus passed by, cried out, saying, Have mercy on us, O Lord, [thou] Son of David.
Matthew 20:31	And the multitude rebuked them, because they should hold their peace: but they cried the more, saying, Have mercy on us, O Lord, [thou] Son of David.
Matthew 20:32	And Jesus stood still, and called them, and said, What will ye that I shall do unto you?
Matthew 20:33	They say unto him, Lord, that our eyes may be opened.
Matthew 20:34	So Jesus had compassion [on them], and touched their eyes: and immediately their eyes received sight, and they followed him.
Matthew 21:1	And when they drew nigh unto Jerusalem, and were come to Bethphage, unto the mount of Olives, then sent Jesus two disciples,
Matthew 21:2	Saying unto them, Go into the village over against you, and straightway ye shall find an ass tied, and a colt with her: loose [them], and bring [them] unto me.
Matthew 21:3	And if any [man] say ought unto you, ye shall say, The Lord hath need of them; and straightway he will send them.
Matthew 21:4	All this was done, that it might be fulfilled which was spoken by the prophet, saying,
Matthew 21:5	Tell ye the daughter of Sion, Behold, thy King cometh unto thee, meek, and sitting upon an ass, and a colt the foal of an ass.
Matthew 21:6	And the disciples went, and did as Jesus commanded them,
Matthew 21:7	And brought the ass, and the colt, and put on them their clothes, and they set [him] thereon.
Matthew 21:8	And a very great multitude spread their garments in the way; others cut down branches from the trees, and strawed [them] in the way.
Matthew 21:9	And the multitudes that went before, and that followed, cried, saying, Hosanna to the Son of David: Blessed [is] he that cometh in the name of the Lord; Hosanna in the highest.
Matthew 21:10	And when he was come into Jerusalem, all the city was moved, saying, Who is this?
Matthew 21:11	And the multitude said, This is Jesus the prophet of Nazareth of Galilee.
Matthew 21:12	And Jesus went into the temple of God, and cast out all them that sold and bought in the temple, and overthrew the tables of the moneychangers, and the seats of them that sold doves,
Matthew 21:13	And said unto them, It is written, My house shall be called the house of prayer; but ye have made it a den of thieves.
Matthew 21:14	And the blind and the lame came to him in the temple; and he healed them.
Matthew 21:15	And when the chief priests and scribes saw the wonderful things that he did, and the children crying in the temple, and saying, Hosanna to the Son of David; they were sore displeased,
Matthew 21:16	And said unto him, Hearest thou what these say? And Jesus saith unto them, Yea; have ye never read, Out of the mouth of babes and sucklings thou hast perfected praise?
Matthew 21:17	And he left them, and went out of the city into Bethany; and he lodged there.
Matthew 21:18	Now in the morning as he returned into the city, he hungered.
Matthew 21:19	And when he saw a fig tree in the way, he came to it, and found nothing thereon, but leaves only, and said unto it, Let no fruit grow on thee henceforward for ever. And presently the fig tree withered away.
Matthew 21:20	And when the disciples saw [it], they marvelled, saying, How soon is the fig tree withered away!
Matthew 21:21	Jesus answered and said unto them, Verily I say unto you, If ye have faith, and doubt not, ye shall not only do this [which is done] to the fig tree, but also if ye shall say unto this mountain, Be thou removed, and be thou cast into the sea; it shall be done.
Matthew 21:22	And all things, whatsoever ye shall ask in prayer, believing, ye shall receive.
Matthew 21:23	And when he was come into the temple, the chief priests and the elders of the people came unto him as he was teaching, and said, By what authority doest thou these things? and who gave thee this authority?
Matthew 21:24	And Jesus answered and said unto them, I also will ask you one thing, which if ye tell me, I in like wise will tell you by what authority I do these things.
Matthew 21:25	The baptism of John, whence was it? from heaven, or of men? And they reasoned with themselves, saying, If we shall say, From heaven; he will say unto us, Why did ye not then believe him?
Matthew 21:26	But if we shall say, Of men; we fear the people; for all hold John as a prophet.
Matthew 21:27	And they answered Jesus, and said, We cannot tell. And he said unto them, Neither tell I you by what authority I do these things.
Matthew 21:28	But what think ye? A [certain] man had two sons; and he came to the first, and said, Son, go work to day in my vineyard.
Matthew 21:29	He answered and said, I will not: but afterward he repented, and went.
Matthew 21:30	And he came to the second, and said likewise. And he answered and said, I [go], sir: and went not.
Matthew 21:31	Whether of them twain did the will of [his] father? They say unto him, The first. Jesus saith unto them, Verily I say unto you, That the publicans and the harlots go into the kingdom of God before you.
